"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error"
"Total:","15,130,603","±46,400"
"    Car, truck, or van - drove alone","10,860,289","±61,147"
"    Car, truck, or van - carpooled","1,633,043","±33,712"
"    Public transportation","148,333","±9,461"
"    Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means","532,589","±15,312"
"    Worked from home","1,956,349","±30,576"
