County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Dawson,58,LBB,Lubbock,900 ,0.34%,0.08 ,"11,378",0.04%,0.98 ,"11,655",0.04%,"639,348.874",0.10%,54.856 ,312.630,0.39%,0.027 ,740.881,0.37%,0.064 ,"$5,928,010",0.05%,$509 ,"$1,933,529",0.32%,$166 ,"$895,125",0.02%,$77 ,"$8,756,664",0.05%,$751 ,,
Deaf Smith,59,AMA,Amarillo,"1,497 ",0.57%,0.08 ,"21,475",0.08%,1.14 ,"18,794",0.06%,"493,271.598",0.08%,26.246 ,272.208,0.34%,0.014 ,603.288,0.30%,0.032 ,"$22,054,684",0.18%,"$1,173 ","$1,793,109",0.30%,$95 ,"$7,534,740",0.19%,$401 ,"$31,382,533",0.19%,"$1,670 ",,
Delta,60,PAR,Paris,257 ,0.10%,0.05 ,"7,148",0.03%,1.29 ,"5,531",0.02%,"192,804.505",0.03%,34.859 ,166.061,0.20%,0.030 ,372.806,0.19%,0.067 ,"$1,581,215",0.01%,$286 ,"$1,106,550",0.18%,$200 ,"$4,808,673",0.12%,$869 ,"$7,496,438",0.04%,"$1,355 ",,
Denton,61,DAL,Dallas,879 ,0.34%,0.00 ,"819,821",3.04%,0.77 ,"1,058,299",3.35%,"13,345,256.759",2.14%,12.610 ,557.178,0.69%,0.001 ,"1,863.914",0.93%,0.002 ,"$406,731,677",3.36%,$384 ,"$4,569,705",0.75%,$4 ,"$50,154,897",1.25%,$47 ,"$461,456,278",2.76%,$436 ,,
Dewitt,62,YKM,Yoakum,909 ,0.35%,0.04 ,"26,295",0.10%,1.28 ,"20,471",0.06%,"650,035.006",0.10%,31.754 ,315.032,0.39%,0.015 ,675.302,0.34%,0.033 ,"$44,781,779",0.37%,"$2,188 ","$3,027,400",0.50%,$148 ,"$13,665,214",0.34%,$668 ,"$61,474,394",0.37%,"$3,003 ",,
Dickens,63,CHS,Childress,902 ,0.35%,0.52 ,"2,538",0.01%,1.46 ,"1,741",0.01%,"118,032.649",0.02%,67.796 ,201.840,0.25%,0.116 ,468.124,0.23%,0.269 ,"$12,597,058",0.10%,"$7,236 ","$1,354,696",0.22%,$778 ,"$1,258,883",0.03%,$723 ,"$15,210,637",0.09%,"$8,737 ",,
Dimmit,64,LRD,Laredo,"1,329 ",0.51%,0.17 ,"10,657",0.04%,1.33 ,"8,021",0.03%,"611,967.761",0.10%,76.296 ,248.591,0.31%,0.031 ,509.039,0.25%,0.063 ,"$26,094,500",0.22%,"$3,253 ","$1,519,409",0.25%,$189 ,"$9,452,546",0.24%,"$1,178 ","$37,066,456",0.22%,"$4,621 ",,
Donley,65,CHS,Childress,927 ,0.35%,0.29 ,"3,577",0.01%,1.13 ,"3,172",0.01%,"607,946.394",0.10%,191.660 ,190.418,0.23%,0.060 ,468.856,0.23%,0.148 ,"$6,095,502",0.05%,"$1,922 ","$1,466,503",0.24%,$462 ,"$4,301,575",0.11%,"$1,356 ","$11,863,581",0.07%,"$3,740 ",,
Duval,67,LRD,Laredo,"1,793 ",0.69%,0.18 ,"11,348",0.04%,1.14 ,"9,963",0.03%,"437,046.454",0.07%,43.867 ,311.732,0.38%,0.031 ,641.887,0.32%,0.064 ,"$5,445,924",0.05%,$547 ,"$874,939",0.14%,$88 ,"$3,490,966",0.09%,$350 ,"$9,811,829",0.06%,$985 ,,
Eastland,68,BWD,Brownwood,927 ,0.35%,0.05 ,"28,825",0.11%,1.58 ,"18,223",0.06%,"1,606,790.717",0.26%,88.174 ,459.218,0.57%,0.025 ,"1,033.347",0.51%,0.057 ,"$32,594,718",0.27%,"$1,789 ","$2,573,928",0.43%,$141 ,"$13,209,951",0.33%,$725 ,"$48,378,596",0.29%,"$2,655 ",,
Ector,69,ODA,Odessa,898 ,0.34%,0.01 ,"200,278",0.74%,1.14 ,"175,677",0.56%,"3,687,075.213",0.59%,20.988 ,340.979,0.42%,0.002 ,975.523,0.48%,0.006 ,"$66,836,131",0.55%,$380 ,"$2,034,155",0.34%,$12 ,"$34,983,138",0.87%,$199 ,"$103,853,424",0.62%,$591 ,,
Edwards,70,SJT,San Angelo,"2,118 ",0.81%,1.49 ,"3,243",0.01%,2.28 ,"1,421",0.00%,"107,667.238",0.02%,75.769 ,239.529,0.30%,0.169 ,499.572,0.25%,0.352 ,"$272,669",0.00%,$192 ,"$821,556",0.14%,$578 ,"$387,221",0.01%,$272 ,"$1,481,446",0.01%,"$1,043 ",,
Ellis,71,DAL,Dallas,936 ,0.36%,0.00 ,"705,428",2.62%,2.99 ,"235,760",0.75%,"7,452,065.169",1.19%,31.609 ,637.533,0.79%,0.003 ,"1,658.864",0.82%,0.007 ,"$111,125,770",0.92%,$471 ,"$5,383,977",0.89%,$23 ,"$15,416,887",0.38%,$65 ,"$131,926,634",0.79%,$560 ,,
El Paso,72,ELP,El Paso,"1,013 ",0.39%,0.00 ,"215,506",0.80%,0.25 ,"879,329",2.79%,"12,836,305.799",2.06%,14.598 ,513.823,0.63%,0.001 ,"1,808.637",0.90%,0.002 ,"$266,647,532",2.21%,$303 ,"$4,983,233",0.82%,$6 ,"$109,220,663",2.72%,$124 ,"$380,851,427",2.28%,$433 ,,
Erath,73,FTW,Fort Worth,"1,083 ",0.41%,0.02 ,"49,328",0.18%,1.14 ,"43,427",0.14%,"1,401,436.104",0.22%,32.271 ,391.275,0.48%,0.009 ,850.519,0.42%,0.020 ,"$21,836,458",0.18%,$503 ,"$2,071,057",0.34%,$48 ,"$8,231,928",0.20%,$190 ,"$32,139,442",0.19%,$740 ,,
Falls,74,WAC,Waco,766 ,0.29%,0.04 ,"19,019",0.07%,1.07 ,"17,855",0.06%,"905,566.500",0.15%,50.718 ,344.281,0.42%,0.019 ,751.981,0.37%,0.042 ,"$6,454,331",0.05%,$361 ,"$2,466,329",0.41%,$138 ,"$20,063,914",0.50%,"$1,124 ","$28,984,574",0.17%,"$1,623 ",,
Fannin,75,PAR,Paris,891 ,0.34%,0.02 ,"42,899",0.16%,1.09 ,"39,397",0.12%,"1,100,642.452",0.18%,27.937 ,485.632,0.60%,0.012 ,991.223,0.49%,0.025 ,"$23,637,589",0.20%,$600 ,"$4,234,942",0.70%,$107 ,"$20,197,325",0.50%,$513 ,"$48,069,856",0.29%,"$1,220 ",,
Fayette,76,YKM,Yoakum,950 ,0.36%,0.04 ,"38,066",0.14%,1.49 ,"25,486",0.08%,"2,177,245.173",0.35%,85.429 ,440.461,0.54%,0.017 ,"1,034.720",0.51%,0.041 ,"$63,997,243",0.53%,"$2,511 ","$3,151,050",0.52%,$124 ,"$29,541,447",0.74%,"$1,159 ","$96,689,740",0.58%,"$3,794 ",,
Fisher,77,ABL,Abilene,899 ,0.34%,0.24 ,"4,652",0.02%,1.25 ,"3,736",0.01%,"205,841.387",0.03%,55.097 ,274.880,0.34%,0.074 ,558.034,0.28%,0.149 ,"$5,841,700",0.05%,"$1,564 ","$1,748,109",0.29%,$468 ,"$2,700,550",0.07%,$723 ,"$10,290,360",0.06%,"$2,754 ",,
Floyd,78,LBB,Lubbock,992 ,0.38%,0.20 ,"6,740",0.03%,1.36 ,"4,970",0.02%,"199,179.743",0.03%,40.076 ,323.941,0.40%,0.065 ,701.976,0.35%,0.141 ,"$191,722",0.00%,$39 ,"$1,183,257",0.20%,$238 ,"$719,603",0.02%,$145 ,"$2,094,582",0.01%,$421 ,,
Foard,79,CHS,Childress,704 ,0.27%,0.69 ,"1,732",0.01%,1.69 ,"1,025",0.00%,"52,237.009",0.01%,50.963 ,148.810,0.18%,0.145 ,297.906,0.15%,0.291 ,"$409,856",0.00%,$400 ,"$1,441,575",0.24%,"$1,406 ","$793,591",0.02%,$774 ,"$2,645,022",0.02%,"$2,581 ",,
Fort Bend,80,HOU,Houston,862 ,0.33%,0.00 ,"712,987",2.64%,0.73 ,"971,689",3.08%,"9,861,470.399",1.58%,10.149 ,461.111,0.57%,0.000 ,"1,454.621",0.72%,0.001 ,"$227,911,109",1.89%,$235 ,"$2,076,278",0.34%,$2 ,"$11,793,706",0.29%,$12 ,"$241,781,093",1.45%,$249 ,,
Franklin,81,PAR,Paris,284 ,0.11%,0.03 ,"13,824",0.05%,1.23 ,"11,231",0.04%,"548,281.713",0.09%,48.819 ,157.150,0.19%,0.014 ,343.872,0.17%,0.031 ,"$10,900,584",0.09%,$971 ,"$1,288,565",0.21%,$115 ,"$5,923,780",0.15%,$527 ,"$18,112,928",0.11%,"$1,613 ",,
Freestone,82,BRY,Bryan,878 ,0.34%,0.04 ,"24,990",0.09%,1.22 ,"20,554",0.07%,"1,789,918.413",0.29%,87.084 ,376.560,0.46%,0.018 ,823.581,0.41%,0.040 ,"$8,249,538",0.07%,$401 ,"$3,407,080",0.56%,$166 ,"$12,025,444",0.30%,$585 ,"$23,682,062",0.14%,"$1,152 ",,
Frio,83,SAT,San Antonio,"1,134 ",0.43%,0.06 ,"16,508",0.06%,0.84 ,"19,614",0.06%,"1,431,284.305",0.23%,72.973 ,339.255,0.42%,0.017 ,761.107,0.38%,0.039 ,"$19,158,327",0.16%,$977 ,"$2,932,167",0.48%,$149 ,"$3,291,863",0.08%,$168 ,"$25,382,358",0.15%,"$1,294 ",,
Gaines,84,LBB,Lubbock,"1,502 ",0.58%,0.06 ,"28,571",0.11%,1.23 ,"23,167",0.07%,"829,147.368",0.13%,35.790 ,271.840,0.33%,0.012 ,662.710,0.33%,0.029 ,"$6,960,876",0.06%,$300 ,"$1,214,784",0.20%,$52 ,"$349,868",0.01%,$15 ,"$8,525,528",0.05%,$368 ,,
Galveston,85,HOU,Houston,379 ,0.15%,0.00 ,"313,275",1.16%,0.85 ,"368,857",1.17%,"5,718,914.105",0.92%,15.504 ,332.102,0.41%,0.001 ,"1,083.137",0.54%,0.003 ,"$226,492,554",1.87%,$614 ,"$1,537,387",0.25%,$4 ,"$19,797,956",0.49%,$54 ,"$247,827,898",1.48%,$672 ,,
Garza,86,LBB,Lubbock,893 ,0.34%,0.17 ,"5,030",0.02%,0.94 ,"5,376",0.02%,"465,436.304",0.07%,86.577 ,183.452,0.23%,0.034 ,457.256,0.23%,0.085 ,"$1,850,457",0.02%,$344 ,"$849,298",0.14%,$158 ,"$5,692,765",0.14%,"$1,059 ","$8,392,520",0.05%,"$1,561 ",,
Gillespie,87,AUS,Austin,"1,058 ",0.41%,0.04 ,"43,216",0.16%,1.50 ,"28,875",0.09%,"935,721.528",0.15%,32.406 ,272.329,0.34%,0.009 ,680.868,0.34%,0.024 ,"$9,424,225",0.08%,$326 ,"$2,137,335",0.35%,$74 ,"$5,398,750",0.13%,$187 ,"$16,960,310",0.10%,$587 ,,
Glasscock,88,SJT,San Angelo,900 ,0.34%,0.78 ,"3,110",0.01%,2.69 ,"1,154",0.00%,"454,468.177",0.07%,393.820 ,136.881,0.17%,0.119 ,356.964,0.18%,0.309 ,"$15,697,916",0.13%,"$13,603 ","$334,862",0.06%,$290 ,"$172,568",0.00%,$150 ,"$16,205,346",0.10%,"$14,043 ",,
Goliad,89,CRP,Corpus Christi,852 ,0.33%,0.12 ,"10,193",0.04%,1.38 ,"7,399",0.02%,"372,951.081",0.06%,50.406 ,250.385,0.31%,0.034 ,535.263,0.27%,0.072 ,"$10,450,510",0.09%,"$1,412 ","$2,765,722",0.46%,$374 ,"$10,332,970",0.26%,"$1,397 ","$23,549,202",0.14%,"$3,183 ",,
Gonzales,90,YKM,Yoakum,"1,067 ",0.41%,0.05 ,"26,984",0.10%,1.33 ,"20,311",0.06%,"1,580,315.089",0.25%,77.806 ,409.810,0.50%,0.020 ,894.095,0.44%,0.044 ,"$37,715,364",0.31%,"$1,857 ","$2,327,031",0.38%,$115 ,"$8,336,157",0.21%,$410 ,"$48,378,552",0.29%,"$2,382 ",,
Gray,91,AMA,Amarillo,926 ,0.35%,0.04 ,"22,255",0.08%,1.07 ,"20,887",0.07%,"663,137.812",0.11%,31.749 ,333.506,0.41%,0.016 ,762.061,0.38%,0.036 ,"$14,826,422",0.12%,$710 ,"$2,787,462",0.46%,$133 ,"$15,011,624",0.37%,$719 ,"$32,625,508",0.20%,"$1,562 ",,
Grayson,92,PAR,Paris,933 ,0.36%,0.01 ,"158,027",0.59%,1.04 ,"152,665",0.48%,"4,584,157.041",0.73%,30.028 ,544.823,0.67%,0.004 ,"1,289.976",0.64%,0.008 ,"$120,465,044",1.00%,$789 ,"$3,596,801",0.59%,$24 ,"$47,518,247",1.18%,$311 ,"$171,580,092",1.03%,"$1,124 ",,
Gregg,93,TYL,Tyler,273 ,0.10%,0.00 ,"141,739",0.53%,1.11 ,"127,815",0.40%,"2,953,192.919",0.47%,23.105 ,269.980,0.33%,0.002 ,824.175,0.41%,0.006 ,"$28,703,066",0.24%,$225 ,"$4,674,720",0.77%,$37 ,"$12,645,011",0.31%,$99 ,"$46,022,798",0.28%,$360 ,,
Grimes,94,BRY,Bryan,787 ,0.30%,0.02 ,"41,496",0.15%,1.24 ,"33,510",0.11%,"1,574,748.096",0.25%,46.993 ,306.405,0.38%,0.009 ,651.935,0.32%,0.019 ,"$20,782,979",0.17%,$620 ,"$2,563,215",0.42%,$76 ,"$14,303,652",0.36%,$427 ,"$37,649,846",0.23%,"$1,124 ",,
Guadalupe,95,SAT,San Antonio,711 ,0.27%,0.00 ,"186,557",0.69%,0.95 ,"196,392",0.62%,"4,538,462.517",0.73%,23.109 ,408.584,0.50%,0.002 ,"1,015.293",0.50%,0.005 ,"$113,621,218",0.94%,$579 ,"$3,076,958",0.51%,$16 ,"$24,064,351",0.60%,$123 ,"$140,762,527",0.84%,$717 ,,
Hale,96,LBB,Lubbock,"1,005 ",0.38%,0.03 ,"29,094",0.11%,0.91 ,"31,802",0.10%,"953,011.078",0.15%,29.967 ,460.174,0.57%,0.014 ,"1,053.500",0.52%,0.033 ,"$7,895,027",0.07%,$248 ,"$1,861,729",0.31%,$59 ,"$3,256,846",0.08%,$102 ,"$13,013,601",0.08%,$409 ,,
Hall,97,CHS,Childress,883 ,0.34%,0.33 ,"2,990",0.01%,1.12 ,"2,670",0.01%,"278,970.235",0.04%,104.483 ,209.538,0.26%,0.078 ,459.241,0.23%,0.172 ,"$2,948,646",0.02%,"$1,104 ","$2,032,298",0.34%,$761 ,"$2,484,244",0.06%,$930 ,"$7,465,188",0.04%,"$2,796 ",,
Hamilton,98,WAC,Waco,836 ,0.32%,0.09 ,"12,739",0.05%,1.40 ,"9,071",0.03%,"449,430.900",0.07%,49.546 ,286.998,0.35%,0.032 ,579.822,0.29%,0.064 ,"$6,069,229",0.05%,$669 ,"$1,627,900",0.27%,$179 ,"$10,724,093",0.27%,"$1,182 ","$18,421,221",0.11%,"$2,031 ",,
Hansford,99,AMA,Amarillo,920 ,0.35%,0.18 ,"6,710",0.02%,1.35 ,"4,977",0.02%,"147,182.586",0.02%,29.573 ,260.816,0.32%,0.052 ,525.404,0.26%,0.106 ,"$476,365",0.00%,$96 ,"$1,250,082",0.21%,$251 ,"$913,210",0.02%,$183 ,"$2,639,657",0.02%,$530 ,,
Hardeman,100,CHS,Childress,695 ,0.27%,0.21 ,"3,966",0.01%,1.18 ,"3,367",0.01%,"412,207.077",0.07%,122.426 ,200.980,0.25%,0.060 ,465.082,0.23%,0.138 ,"$4,420,449",0.04%,"$1,313 ","$1,349,688",0.22%,$401 ,"$13,795,365",0.34%,"$4,097 ","$19,565,501",0.12%,"$5,811 ",,
Hardin,101,BMT,Beaumont,891 ,0.34%,0.01 ,"63,309",0.23%,1.06 ,"59,494",0.19%,"1,421,288.014",0.23%,23.890 ,249.144,0.31%,0.004 ,585.914,0.29%,0.010 ,"$45,571,622",0.38%,$766 ,"$3,095,573",0.51%,$52 ,"$7,379,861",0.18%,$124 ,"$56,047,055",0.34%,$942 ,,
Harris,102,HOU,Houston,"1,707 ",0.65%,0.00 ,"3,552,979",13.18%,0.71 ,"5,003,892",15.85%,"69,713,146.130",11.17%,13.932 ,"1,379.486",1.70%,0.000 ,"5,661.054",2.81%,0.001 ,"$1,117,336,888",9.24%,$223 ,"$10,683,113",1.76%,$2 ,"$138,314,464",3.44%,$28 ,"$1,266,334,465",7.58%,$253 ,,
Harrison,103,ATL,Atlanta,900 ,0.34%,0.01 ,"75,686",0.28%,1.06 ,"71,364",0.23%,"2,902,417.938",0.46%,40.671 ,475.488,0.59%,0.007 ,"1,173.548",0.58%,0.016 ,"$32,380,489",0.27%,$454 ,"$4,324,251",0.71%,$61 ,"$15,829,693",0.39%,$222 ,"$52,534,433",0.31%,$736 ,,
Hartley,104,AMA,Amarillo,"1,462 ",0.56%,0.30 ,"7,733",0.03%,1.57 ,"4,916",0.02%,"507,832.716",0.08%,103.302 ,253.136,0.31%,0.051 ,550.755,0.27%,0.112 ,"$1,910,102",0.02%,$389 ,"$2,144,048",0.35%,$436 ,"$1,629,991",0.04%,$332 ,"$5,684,141",0.03%,"$1,156 ",,
Haskell,105,ABL,Abilene,903 ,0.35%,0.17 ,"6,151",0.02%,1.13 ,"5,445",0.02%,"252,883.782",0.04%,46.443 ,297.516,0.37%,0.055 ,669.374,0.33%,0.123 ,"$9,447,697",0.08%,"$1,735 ","$3,409,517",0.56%,$626 ,"$4,370,566",0.11%,$803 ,"$17,227,781",0.10%,"$3,164 ",,
Hays,106,AUS,Austin,677 ,0.26%,0.00 ,"250,910",0.93%,0.85 ,"294,840",0.93%,"6,411,022.177",1.03%,21.744 ,281.136,0.35%,0.001 ,767.078,0.38%,0.003 ,"$40,484,218",0.33%,$137 ,"$1,882,179",0.31%,$6 ,"$26,876,215",0.67%,$91 ,"$69,242,612",0.41%,$235 ,,
Hemphill,107,AMA,Amarillo,906 ,0.35%,0.28 ,"5,311",0.02%,1.65 ,"3,210",0.01%,"117,289.677",0.02%,36.539 ,183.276,0.23%,0.057 ,384.149,0.19%,0.120 ,"$1,870,670",0.02%,$583 ,"$1,693,295",0.28%,$528 ,"$5,799,412",0.14%,"$1,807 ","$9,363,376",0.06%,"$2,917 ",,
Henderson,108,TYL,Tyler,874 ,0.33%,0.01 ,"103,096",0.38%,1.17 ,"88,009",0.28%,"2,092,757.061",0.34%,23.779 ,422.489,0.52%,0.005 ,"1,067.231",0.53%,0.012 ,"$14,245,927",0.12%,$162 ,"$3,653,229",0.60%,$42 ,"$8,120,198",0.20%,$92 ,"$26,019,353",0.16%,$296 ,,
Hidalgo,109,PHR,Pharr,"1,571 ",0.60%,0.00 ,"741,698",2.75%,0.80 ,"928,384",2.94%,"12,930,973.121",2.07%,13.928 ,848.745,1.05%,0.001 ,"2,601.755",1.29%,0.003 ,"$144,905,992",1.20%,$156 ,"$5,967,404",0.99%,$6 ,"$29,832,546",0.74%,$32 ,"$180,705,942",1.08%,$195 ,,
Hill,110,WAC,Waco,959 ,0.37%,0.02 ,"52,919",0.20%,1.34 ,"39,598",0.13%,"3,175,921.544",0.51%,80.204 ,498.947,0.61%,0.013 ,"1,162.561",0.58%,0.029 ,"$39,097,117",0.32%,$987 ,"$4,342,587",0.72%,$110 ,"$15,462,936",0.38%,$390 ,"$58,902,640",0.35%,"$1,488 ",,
Hockley,111,LBB,Lubbock,908 ,0.35%,0.04 ,"26,282",0.10%,1.22 ,"21,620",0.07%,"685,691.970",0.11%,31.716 ,336.305,0.41%,0.016 ,752.216,0.37%,0.035 ,"$13,896,274",0.11%,$643 ,"$1,703,576",0.28%,$79 ,"$773,119",0.02%,$36 ,"$16,372,969",0.10%,$757 ,,
Hood,112,FTW,Fort Worth,421 ,0.16%,0.01 ,"82,937",0.31%,1.18 ,"70,130",0.22%,"1,314,457.690",0.21%,18.743 ,180.389,0.22%,0.003 ,415.840,0.21%,0.006 ,"$14,878,618",0.12%,$212 ,"$1,701,322",0.28%,$24 ,"$10,090,058",0.25%,$144 ,"$26,669,998",0.16%,$380 ,,
Hopkins,113,PAR,Paris,767 ,0.29%,0.02 ,"47,055",0.17%,1.21 ,"39,012",0.12%,"1,851,366.776",0.30%,47.456 ,439.844,0.54%,0.011 ,"1,009.560",0.50%,0.026 ,"$5,023,030",0.04%,$129 ,"$4,076,132",0.67%,$104 ,"$17,991,529",0.45%,$461 ,"$27,090,691",0.16%,$694 ,,
Houston,114,LFK,Lufkin,"1,231 ",0.47%,0.06 ,"24,585",0.09%,1.13 ,"21,771",0.07%,"702,323.458",0.11%,32.260 ,401.651,0.49%,0.018 ,863.252,0.43%,0.040 ,"$29,072,035",0.24%,"$1,335 ","$4,402,826",0.73%,$202 ,"$24,013,592",0.60%,"$1,103 ","$57,488,453",0.34%,"$2,641 ",,
Howard,115,ABL,Abilene,901 ,0.34%,0.03 ,"30,711",0.11%,0.90 ,"33,949",0.11%,"1,564,352.151",0.25%,46.079 ,358.779,0.44%,0.011 ,909.570,0.45%,0.027 ,"$32,394,081",0.27%,$954 ,"$2,319,956",0.38%,$68 ,"$3,900,512",0.10%,$115 ,"$38,614,549",0.23%,"$1,137 ",,
Hudspeth,116,ELP,El Paso,"4,571 ",1.75%,1.21 ,"3,783",0.01%,1.00 ,"3,792",0.01%,"1,425,493.436",0.23%,375.921 ,340.807,0.42%,0.090 ,828.166,0.41%,0.218 ,"$7,621,410",0.06%,"$2,010 ","$1,990,073",0.33%,$525 ,"$13,949,852",0.35%,"$3,679 ","$23,561,335",0.14%,"$6,213 ",,
Hunt,117,PAR,Paris,840 ,0.32%,0.01 ,"124,667",0.46%,1.05 ,"118,261",0.37%,"3,625,392.211",0.58%,30.656 ,595.437,0.73%,0.005 ,"1,378.324",0.68%,0.012 ,"$40,706,025",0.34%,$344 ,"$4,637,000",0.77%,$39 ,"$49,411,849",1.23%,$418 ,"$94,754,874",0.57%,$801 ,,
Hutchinson,118,AMA,Amarillo,887 ,0.34%,0.04 ,"24,484",0.09%,1.21 ,"20,223",0.06%,"353,052.416",0.06%,17.458 ,208.088,0.26%,0.010 ,492.907,0.24%,0.024 ,"$6,628,621",0.05%,$328 ,"$1,546,390",0.26%,$76 ,"$6,417,615",0.16%,$317 ,"$14,592,625",0.09%,$722 ,,
Irion,119,SJT,San Angelo,"1,052 ",0.40%,0.71 ,"3,477",0.01%,2.36 ,"1,475",0.00%,"239,975.961",0.04%,162.696 ,123.116,0.15%,0.083 ,246.232,0.12%,0.167 ,"$6,455,712",0.05%,"$4,377 ","$344,296",0.06%,$233 ,"$308,164",0.01%,$209 ,"$7,108,172",0.04%,"$4,819 ",,
Jack,120,FTW,Fort Worth,911 ,0.35%,0.09 ,"12,280",0.05%,1.28 ,"9,606",0.03%,"380,744.557",0.06%,39.636 ,271.533,0.33%,0.028 ,583.197,0.29%,0.061 ,"$30,086,674",0.25%,"$3,132 ","$1,069,361",0.18%,$111 ,"$2,206,992",0.05%,$230 ,"$33,363,027",0.20%,"$3,473 ",,
Jackson,121,YKM,Yoakum,829 ,0.32%,0.06 ,"18,844",0.07%,1.25 ,"15,034",0.05%,"1,022,316.592",0.16%,68.000 ,293.772,0.36%,0.020 ,637.280,0.32%,0.042 ,"$25,639,068",0.21%,"$1,705 ","$3,279,799",0.54%,$218 ,"$11,870,578",0.30%,$790 ,"$40,789,445",0.24%,"$2,713 ",,
Jasper,122,BMT,Beaumont,939 ,0.36%,0.03 ,"41,798",0.16%,1.27 ,"32,954",0.10%,"1,212,241.382",0.19%,36.786 ,323.878,0.40%,0.010 ,777.639,0.39%,0.024 ,"$7,075,257",0.06%,$215 ,"$1,736,637",0.29%,$53 ,"$7,982,567",0.20%,$242 ,"$16,794,461",0.10%,$510 ,,
Jeff Davis,123,ELP,El Paso,"2,265 ",0.87%,1.11 ,"2,861",0.01%,1.41 ,"2,035",0.01%,"193,340.222",0.03%,95.007 ,226.601,0.28%,0.111 ,472.008,0.23%,0.232 ,"$1,058,870",0.01%,$520 ,"$1,062,079",0.18%,$522 ,"$3,083,955",0.08%,"$1,515 ","$5,204,904",0.03%,"$2,558 ",,
Jefferson,124,BMT,Beaumont,877 ,0.34%,0.00 ,"217,569",0.81%,0.84 ,"258,038",0.82%,"5,516,614.920",0.88%,21.379 ,365.974,0.45%,0.001 ,"1,120.265",0.56%,0.004 ,"$129,339,715",1.07%,$501 ,"$3,959,174",0.65%,$15 ,"$69,873,161",1.74%,$271 ,"$203,172,050",1.22%,$787 ,,
Jim Hogg,125,PHR,Pharr,"1,136 ",0.43%,0.24 ,"4,353",0.02%,0.93 ,"4,697",0.01%,"154,415.133",0.02%,32.875 ,142.682,0.18%,0.030 ,288.003,0.14%,0.061 ,"$9,243,917",0.08%,"$1,968 ","$1,580,864",0.26%,$337 ,"$963,704",0.02%,$205 ,"$11,788,485",0.07%,"$2,510 ",,
Jim Wells,126,CRP,Corpus Christi,865 ,0.33%,0.02 ,"39,837",0.15%,1.04 ,"38,468",0.12%,"1,187,437.903",0.19%,30.868 ,273.677,0.34%,0.007 ,714.920,0.36%,0.019 ,"$44,768,307",0.37%,"$1,164 ","$2,163,969",0.36%,$56 ,"$4,494,784",0.11%,$117 ,"$51,427,060",0.31%,"$1,337 ",,
Johnson,127,FTW,Fort Worth,725 ,0.28%,0.00 ,"205,443",0.76%,0.98 ,"209,341",0.66%,"3,971,562.382",0.64%,18.972 ,415.104,0.51%,0.002 ,"1,005.822",0.50%,0.005 ,"$59,856,946",0.50%,$286 ,"$2,496,854",0.41%,$12 ,"$23,434,549",0.58%,$112 ,"$85,788,349",0.51%,$410 ,,
Jones,128,ABL,Abilene,929 ,0.36%,0.04 ,"19,746",0.07%,0.94 ,"21,101",0.07%,"581,200.172",0.09%,27.544 ,446.015,0.55%,0.021 ,"1,005.147",0.50%,0.048 ,"$20,826,816",0.17%,$987 ,"$3,846,720",0.64%,$182 ,"$13,152,628",0.33%,$623 ,"$37,826,164",0.23%,"$1,793 ",,
Karnes,129,CRP,Corpus Christi,748 ,0.29%,0.05 ,"21,317",0.08%,1.40 ,"15,196",0.05%,"754,340.591",0.12%,49.641 ,336.303,0.41%,0.022 ,708.574,0.35%,0.047 ,"$31,322,999",0.26%,"$2,061 ","$3,352,025",0.55%,$221 ,"$9,695,152",0.24%,$638 ,"$44,370,176",0.27%,"$2,920 ",,
Kaufman,130,DAL,Dallas,781 ,0.30%,0.00 ,"170,855",0.63%,0.85 ,"200,711",0.64%,"5,360,482.422",0.86%,26.707 ,501.928,0.62%,0.003 ,"1,235.077",0.61%,0.006 ,"$103,803,269",0.86%,$517 ,"$4,505,314",0.74%,$22 ,"$25,339,574",0.63%,$126 ,"$133,648,156",0.80%,$666 ,,
Kendall,131,SAT,San Antonio,662 ,0.25%,0.01 ,"72,230",0.27%,1.42 ,"50,790",0.16%,"1,539,973.211",0.25%,30.320 ,195.028,0.24%,0.004 ,457.169,0.23%,0.009 ,"$12,548,037",0.10%,$247 ,"$1,950,019",0.32%,$38 ,"$17,193,747",0.43%,$339 ,"$31,691,803",0.19%,$624 ,,
