County,Total_Registrations
Anderson,154.0
Andrews,56.0
Angelina,290.0
Aransas,162.0
Archer,32.0
Armstrong,4.0
Atascosa,180.0
Austin,198.0
Bailey,4.0
Bandera,188.0
Bastrop,1362.0
Baylor,4.0
Bee,74.0
Bell,3476.0
Bexar,40782.0
Blanco,188.0
Borden,2.0
Bosque,96.0
Bowie,374.0
Brazoria,6142.0
Brazos,2344.0
Brewster,38.0
Briscoe,2.0
Brooks,12.0
Brown,90.0
Burleson,54.0
Burnet,670.0
Caldwell,264.0
Calhoun,76.0
Callahan,58.0
Cameron,2842.0
Camp,28.0
Carson,18.0
Cass,96.0
Castro,20.0
Chambers,394.0
Cherokee,162.0
Childress,14.0
Clay,30.0
Coke,4.0
Coleman,12.0
Collin,55060.0
Collingsworth,2.0
Colorado,114.0
Comal,4166.0
Comanche,38.0
Concho,16.0
Cooke,238.0
Coryell,434.0
Crockett,10.0
Crosby,12.0
Culbertson,34.0
Dallam,34.0
Dallas,57902.0
Dawson,18.0
Deaf Smith,42.0
Delta,28.0
Denton,38108.0
Dewitt,46.0
Dickens,6.0
Dimmit,10.0
Donley,2.0
Duval,18.0
Eastland,50.0
Ector,540.0
Edwards,6.0
El Paso,9010.0
Ellis,2502.0
Erath,180.0
Falls,24.0
Fannin,148.0
Fayette,132.0
Fisher,2.0
Floyd,16.0
Foard,16.0
Fort Bend,30278.0
Franklin,40.0
Freestone,72.0
Frio,36.0
Gains,60.0
Galveston,5082.0
Garza,6.0
Gillespie,340.0
Goliad,10.0
Gonzales,54.0
Gray,56.0
Grayson,1246.0
Gregg,742.0
Grimes,164.0
Guadalupe,2000.0
Hale,86.0
Hall,4.0
Hamilton,34.0
Hansford,6.0
Hardeman,2.0
Hardin,226.0
Harris,79662.0
Harrison,284.0
Hartley,8.0
Haskell,14.0
Hays,6916.0
Hemphill,12.0
Henderson,380.0
Hidalgo,5656.0
Hill,196.0
Hockley,46.0
Hood,742.0
Hopkins,166.0
Houston,30.0
Howard,112.0
Hudspeth,4.0
Hunt,690.0
Hutchinson,38.0
Irion,2.0
Jack,18.0
Jackson,26.0
Jasper,78.0
Jeff Davis,26.0
Jefferson,1078.0
Jim Hogg,4.0
Jim Wells,94.0
Johnson,1716.0
Jones,34.0
Karnes,40.0
Kaufman,2260.0
Kendall,1596.0
Kent,4.0
Kerr,432.0
Kimble,8.0
King,2.0
Kinney,12.0
Kleberg,110.0
Knox,4.0
Lamar,184.0
Lamb,32.0
Lampasas,154.0
Lasalle,6.0
Lavaca,58.0
Lee,76.0
Leon,50.0
Liberty,282.0
Limestone,54.0
Lipscomb,6.0
Live Oak,20.0
Llano,286.0
Loving,2.0
Lubbock,1916.0
Lynn,26.0
Madison,38.0
Marion,38.0
Martin,4.0
Mason,20.0
Matagorda,92.0
Maverick,156.0
McCulloch,16.0
McLennan,2026.0
Medina,482.0
Menard,2.0
Midland,818.0
Milam,102.0
Mills,90.0
Mitchell,4.0
Montague,74.0
Montgomery,13894.0
Moore,44.0
Morris,42.0
Motley,2.0
Nacogdoches,234.0
Navarro,206.0
Newton,12.0
Nolan,26.0
Nueces,2410.0
Ochiltree,14.0
Oldham,6.0
Orange,276.0
Palo Pinto,116.0
Panola,56.0
Parker,2122.0
Parmer,10.0
Pecos,26.0
Polk,296.0
Potter,450.0
Presidio,16.0
Rains,68.0
Randall,1016.0
Real,10.0
Red River,12.0
Reeves,38.0
Refugio,12.0
Roberts,2.0
Robertson,48.0
Rockwall,2988.0
Runnels,22.0
Rusk,186.0
Sabine,12.0
San Augustine,10.0
San Jacinto,120.0
San Patricio,292.0
San Saba,14.0
Scurry,40.0
Shackelford,6.0
Shelby,36.0
Sherman,6.0
Smith,1632.0
Somervell,46.0
Starr,118.0
Stephens,10.0
Sterling,2.0
Stonewall,6.0
Sutton,4.0
Swisher,16.0
Tarrant,38128.0
Taylor,860.0
Terry,30.0
Throckmorton,2.0
Titus,110.0
Tom Green,594.0
Travis,70568.0
Trinity,44.0
Tyler,32.0
Upshur,144.0
Upton,4.0
Uvalde,66.0
Val Verde,232.0
Van Zandt,300.0
Victoria,378.0
Walker,242.0
Waller,840.0
Ward,22.0
Washington,262.0
Webb,1092.0
Wharton,132.0
Wheeler,4.0
Wichita,684.0
Wilbarger,36.0
Willacy,48.0
Williamson,28288.0
Wilson,344.0
Winkler,4.0
Wise,514.0
Wood,184.0
Yoakum,4.0
Young,68.0
Zapata,20.0
Zavala,6.0
Cochran,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,551434.0
