County,Total_Registrations
Anderson,170.0
Andrews,62.0
Angelina,330.0
Aransas,160.0
Archer,28.0
Armstrong,4.0
Atascosa,196.0
Austin,230.0
Bailey,4.0
Bandera,234.0
Bastrop,1572.0
Baylor,4.0
Bee,84.0
Bell,4040.0
Bexar,43428.0
Blanco,212.0
Borden,2.0
Bosque,94.0
Bowie,410.0
Brazoria,6916.0
Brazos,2634.0
Brewster,48.0
Briscoe,2.0
Brooks,12.0
Brown,86.0
Burleson,72.0
Burnet,740.0
Caldwell,302.0
Calhoun,80.0
Callahan,62.0
Cameron,3274.0
Camp,40.0
Carson,18.0
Cass,116.0
Castro,18.0
Chambers,444.0
Cherokee,194.0
Childress,16.0
Clay,36.0
Coke,4.0
Coleman,14.0
Collin,59768.0
Collingsworth,2.0
Colorado,142.0
Comal,4604.0
Comanche,40.0
Concho,16.0
Cooke,270.0
Coryell,502.0
Crane,2.0
Crockett,14.0
Crosby,12.0
Culbertson,32.0
Dallam,40.0
Dallas,61868.0
Dawson,26.0
Deaf Smith,46.0
Delta,28.0
Denton,42352.0
Dewitt,54.0
Dickens,6.0
Dimmit,10.0
Donley,2.0
Duval,22.0
Eastland,62.0
Ector,662.0
Edwards,6.0
El Paso,10338.0
Ellis,2870.0
Erath,188.0
Falls,32.0
Fannin,154.0
Fayette,134.0
Fisher,4.0
Floyd,26.0
Foard,16.0
Fort Bend,33714.0
Franklin,48.0
Freestone,66.0
Frio,28.0
Gains,66.0
Galveston,5814.0
Garza,4.0
Gillespie,350.0
Goliad,10.0
Gonzales,62.0
Gray,60.0
Grayson,1356.0
Gregg,814.0
Grimes,186.0
Guadalupe,2280.0
Hale,94.0
Hall,2.0
Hamilton,40.0
Hansford,6.0
Hardeman,4.0
Hardin,240.0
Harris,87914.0
Harrison,306.0
Hartley,10.0
Haskell,12.0
Hays,7752.0
Hemphill,12.0
Henderson,420.0
Hidalgo,6464.0
Hill,208.0
Hockley,52.0
Hood,820.0
Hopkins,186.0
Houston,40.0
Howard,114.0
Hudspeth,4.0
Hunt,768.0
Hutchinson,48.0
Irion,4.0
Jack,24.0
Jackson,28.0
Jasper,76.0
Jeff Davis,26.0
Jefferson,1172.0
Jim Hogg,8.0
Jim Wells,122.0
Johnson,2042.0
Jones,36.0
Karnes,48.0
Kaufman,2582.0
Kendall,1686.0
Kent,4.0
Kerr,450.0
Kimble,8.0
King,6.0
Kinney,10.0
Kleberg,124.0
Knox,6.0
Lamar,212.0
Lamb,32.0
Lampasas,164.0
Lasalle,6.0
Lavaca,56.0
Lee,86.0
Leon,44.0
Liberty,324.0
Limestone,66.0
Lipscomb,8.0
Live Oak,28.0
Llano,328.0
Loving,2.0
Lubbock,2142.0
Lynn,32.0
Madison,40.0
Marion,42.0
Martin,6.0
Mason,26.0
Matagorda,100.0
Maverick,194.0
McCulloch,20.0
McLennan,2216.0
Medina,512.0
Menard,2.0
Midland,928.0
Milam,124.0
Mills,100.0
Mitchell,4.0
Montague,78.0
Montgomery,15238.0
Moore,42.0
Morris,40.0
Motley,2.0
Nacogdoches,242.0
Navarro,212.0
Newton,14.0
Nolan,22.0
Nueces,2668.0
Ochiltree,14.0
Oldham,8.0
Orange,302.0
Palo Pinto,122.0
Panola,54.0
Parker,2398.0
Parmer,10.0
Pecos,24.0
Polk,340.0
Potter,514.0
Presidio,20.0
Rains,78.0
Randall,1078.0
Real,10.0
Red River,24.0
Reeves,36.0
Refugio,16.0
Robertson,46.0
Rockwall,3344.0
Runnels,24.0
Rusk,196.0
Sabine,16.0
San Augustine,18.0
San Jacinto,120.0
San Patricio,322.0
San Saba,24.0
Scurry,40.0
Shackelford,8.0
Shelby,42.0
Sherman,8.0
Smith,1798.0
Somervell,52.0
Starr,140.0
Stephens,20.0
Sterling,2.0
Stonewall,6.0
Sutton,6.0
Swisher,18.0
Tarrant,42360.0
Taylor,940.0
Terry,38.0
Throckmorton,2.0
Titus,120.0
Tom Green,650.0
Travis,76852.0
Trinity,38.0
Tyler,32.0
Upshur,164.0
Upton,10.0
Uvalde,78.0
Val Verde,258.0
Van Zandt,346.0
Victoria,428.0
Walker,290.0
Waller,1000.0
Ward,24.0
Washington,276.0
Webb,1266.0
Wharton,138.0
Wheeler,6.0
Wichita,708.0
Wilbarger,34.0
Willacy,58.0
Williamson,32530.0
Wilson,394.0
Winkler,8.0
Wise,604.0
Wood,212.0
Yoakum,8.0
Young,70.0
Zapata,24.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Roberts,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,607252.0
