County,Total_Registrations
Anderson,138.0
Andrews,46.0
Angelina,278.0
Aransas,144.0
Archer,30.0
Armstrong,4.0
Atascosa,158.0
Austin,184.0
Bailey,4.0
Bandera,182.0
Bastrop,1246.0
Baylor,6.0
Bee,68.0
Bell,3256.0
Bexar,38244.0
Blanco,170.0
Borden,2.0
Bosque,86.0
Bowie,348.0
Brazoria,5806.0
Brazos,2262.0
Brewster,38.0
Briscoe,4.0
Brooks,8.0
Brown,92.0
Burleson,48.0
Burnet,638.0
Caldwell,228.0
Calhoun,72.0
Callahan,52.0
Cameron,2590.0
Camp,26.0
Carson,18.0
Cass,88.0
Castro,20.0
Chambers,366.0
Cherokee,148.0
Childress,14.0
Clay,30.0
Coke,6.0
Coleman,10.0
Collin,52404.0
Collingsworth,2.0
Colorado,112.0
Comal,3866.0
Comanche,30.0
Concho,14.0
Cooke,228.0
Coryell,388.0
Crockett,8.0
Crosby,12.0
Culbertson,28.0
Dallam,28.0
Dallas,54850.0
Dawson,16.0
Deaf Smith,44.0
Delta,28.0
Denton,36004.0
Dewitt,46.0
Dickens,6.0
Dimmit,8.0
Duval,18.0
Eastland,40.0
Ector,532.0
Edwards,6.0
El Paso,8356.0
Ellis,2312.0
Erath,174.0
Falls,16.0
Fannin,142.0
Fayette,118.0
Fisher,2.0
Floyd,18.0
Foard,16.0
Fort Bend,28412.0
Franklin,44.0
Freestone,64.0
Frio,34.0
Gains,52.0
Galveston,4804.0
Garza,4.0
Gillespie,348.0
Goliad,10.0
Gonzales,50.0
Gray,50.0
Grayson,1170.0
Gregg,684.0
Grimes,172.0
Guadalupe,1850.0
Hale,92.0
Hall,4.0
Hamilton,30.0
Hansford,4.0
Hardeman,4.0
Hardin,230.0
Harris,74484.0
Harrison,286.0
Hartley,6.0
Haskell,12.0
Hays,6340.0
Hemphill,10.0
Henderson,356.0
Hidalgo,5206.0
Hill,186.0
Hockley,46.0
Hood,694.0
Hopkins,160.0
Houston,28.0
Howard,100.0
Hudspeth,8.0
Hunt,638.0
Hutchinson,36.0
Irion,2.0
Jack,18.0
Jackson,24.0
Jasper,64.0
Jeff Davis,24.0
Jefferson,1024.0
Jim Hogg,2.0
Jim Wells,86.0
Johnson,1590.0
Jones,34.0
Karnes,42.0
Kaufman,2094.0
Kendall,1494.0
Kent,2.0
Kerr,398.0
Kimble,8.0
King,4.0
Kinney,8.0
Kleberg,104.0
Knox,2.0
Lamar,178.0
Lamb,28.0
Lampasas,144.0
Lasalle,6.0
Lavaca,54.0
Lee,74.0
Leon,46.0
Liberty,242.0
Limestone,50.0
Lipscomb,6.0
Live Oak,20.0
Llano,264.0
Loving,2.0
Lubbock,1836.0
Lynn,28.0
Madison,36.0
Marion,40.0
Martin,4.0
Mason,18.0
Matagorda,76.0
Maverick,148.0
McCulloch,18.0
McLennan,1956.0
Medina,458.0
Menard,2.0
Midland,786.0
Milam,94.0
Mills,78.0
Mitchell,4.0
Montague,68.0
Montgomery,12762.0
Moore,42.0
Morris,46.0
Motley,2.0
Nacogdoches,224.0
Navarro,188.0
Newton,10.0
Nolan,24.0
Nueces,2214.0
Ochiltree,12.0
Oldham,6.0
Orange,262.0
Palo Pinto,114.0
Panola,54.0
Parker,1992.0
Parmer,10.0
Pecos,24.0
Polk,258.0
Potter,448.0
Presidio,14.0
Rains,58.0
Randall,946.0
Real,10.0
Red River,10.0
Reeves,44.0
Refugio,10.0
Roberts,2.0
Robertson,42.0
Rockwall,2796.0
Runnels,26.0
Rusk,194.0
Sabine,8.0
San Augustine,12.0
San Jacinto,104.0
San Patricio,248.0
San Saba,12.0
Scurry,40.0
Shackelford,6.0
Shelby,40.0
Sherman,8.0
Smith,1540.0
Somervell,44.0
Starr,102.0
Stephens,6.0
Sterling,2.0
Stonewall,4.0
Sutton,4.0
Swisher,14.0
Tarrant,36100.0
Taylor,830.0
Terry,26.0
Throckmorton,2.0
Titus,102.0
Tom Green,570.0
Travis,66530.0
Trinity,44.0
Tyler,30.0
Upshur,136.0
Upton,4.0
Uvalde,54.0
Val Verde,226.0
Van Zandt,286.0
Victoria,374.0
Walker,242.0
Waller,772.0
Ward,24.0
Washington,244.0
Webb,996.0
Wharton,130.0
Wheeler,4.0
Wichita,636.0
Wilbarger,32.0
Willacy,46.0
Williamson,26558.0
Wilson,356.0
Winkler,6.0
Wise,482.0
Wood,180.0
Yoakum,6.0
Young,66.0
Zapata,16.0
Zavala,4.0
Cochran,0.0
Donley,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,518678.0
