County,Total_Registrations
Anderson,200.0
Andrews,78.0
Angelina,388.0
Aransas,162.0
Archer,40.0
Armstrong,4.0
Atascosa,220.0
Austin,254.0
Bailey,4.0
Bandera,252.0
Bastrop,1770.0
Baylor,4.0
Bee,96.0
Bell,4608.0
Bexar,46860.0
Blanco,244.0
Borden,2.0
Bosque,102.0
Bowie,458.0
Brazoria,7654.0
Brazos,2908.0
Brewster,54.0
Briscoe,2.0
Brooks,12.0
Brown,118.0
Burleson,80.0
Burnet,804.0
Caldwell,362.0
Calhoun,86.0
Callahan,68.0
Cameron,3718.0
Camp,42.0
Carson,18.0
Cass,136.0
Castro,18.0
Chambers,492.0
Cherokee,228.0
Childress,20.0
Clay,44.0
Coke,4.0
Coleman,16.0
Collin,65304.0
Collingsworth,2.0
Colorado,154.0
Comal,5038.0
Comanche,44.0
Concho,16.0
Cooke,304.0
Coryell,578.0
Crane,4.0
Crockett,16.0
Crosby,18.0
Culbertson,34.0
Dallam,40.0
Dallas,66334.0
Dawson,28.0
Deaf Smith,48.0
Delta,30.0
Denton,45680.0
Dewitt,60.0
Dickens,6.0
Dimmit,10.0
Donley,6.0
Duval,22.0
Eastland,62.0
Ector,794.0
Edwards,8.0
El Paso,11662.0
Ellis,3194.0
Erath,204.0
Falls,40.0
Fannin,168.0
Fayette,156.0
Fisher,8.0
Floyd,30.0
Foard,18.0
Fort Bend,37024.0
Franklin,44.0
Freestone,86.0
Frio,32.0
Gains,76.0
Galveston,6352.0
Garza,4.0
Gillespie,404.0
Goliad,12.0
Gonzales,74.0
Gray,72.0
Grayson,1508.0
Gregg,898.0
Grimes,198.0
Guadalupe,2436.0
Hale,116.0
Hamilton,42.0
Hansford,4.0
Hardeman,6.0
Hardin,274.0
Harris,95078.0
Harrison,352.0
Hartley,14.0
Haskell,14.0
Hays,8480.0
Hemphill,14.0
Henderson,466.0
Hidalgo,7278.0
Hill,224.0
Hockley,60.0
Hood,890.0
Hopkins,210.0
Houston,52.0
Howard,126.0
Hudspeth,6.0
Hunt,890.0
Hutchinson,54.0
Irion,4.0
Jack,24.0
Jackson,34.0
Jasper,98.0
Jeff Davis,28.0
Jefferson,1366.0
Jim Hogg,10.0
Jim Wells,148.0
Johnson,2386.0
Jones,40.0
Karnes,48.0
Kaufman,2920.0
Kendall,1784.0
Kent,2.0
Kerr,480.0
Kimble,16.0
King,10.0
Kinney,12.0
Kleberg,148.0
Knox,4.0
Lamar,232.0
Lamb,40.0
Lampasas,178.0
Lasalle,10.0
Lavaca,62.0
Lee,96.0
Leon,46.0
Liberty,398.0
Limestone,76.0
Lipscomb,8.0
Live Oak,30.0
Llano,366.0
Loving,2.0
Lubbock,2460.0
Lynn,34.0
Madison,40.0
Marion,40.0
Martin,18.0
Mason,28.0
Matagorda,112.0
Maverick,214.0
McCulloch,18.0
McLennan,2450.0
Medina,596.0
Menard,4.0
Midland,1042.0
Milam,134.0
Mills,98.0
Mitchell,6.0
Montague,94.0
Montgomery,16926.0
Moore,48.0
Morris,36.0
Motley,2.0
Nacogdoches,268.0
Navarro,212.0
Newton,22.0
Nolan,26.0
Nueces,3002.0
Ochiltree,16.0
Oldham,8.0
Orange,334.0
Palo Pinto,122.0
Panola,62.0
Parker,2728.0
Parmer,14.0
Pecos,22.0
Polk,396.0
Potter,590.0
Presidio,26.0
Rains,92.0
Randall,1194.0
Reagan,2.0
Real,12.0
Red River,22.0
Reeves,46.0
Refugio,20.0
Robertson,44.0
Rockwall,3760.0
Runnels,28.0
Rusk,226.0
Sabine,24.0
San Augustine,24.0
San Jacinto,134.0
San Patricio,356.0
San Saba,26.0
Schleicher,2.0
Scurry,54.0
Shackelford,8.0
Shelby,48.0
Sherman,6.0
Smith,2020.0
Somervell,62.0
Starr,148.0
Stephens,24.0
Sterling,2.0
Stonewall,6.0
Sutton,8.0
Swisher,20.0
Tarrant,46234.0
Taylor,1020.0
Terry,40.0
Titus,156.0
Tom Green,720.0
Travis,82522.0
Trinity,42.0
Tyler,40.0
Upshur,178.0
Upton,10.0
Uvalde,96.0
Val Verde,298.0
Van Zandt,408.0
Victoria,512.0
Walker,310.0
Waller,1102.0
Ward,32.0
Washington,328.0
Webb,1538.0
Wharton,164.0
Wheeler,6.0
Wichita,760.0
Wilbarger,40.0
Willacy,50.0
Williamson,36094.0
Wilson,446.0
Winkler,12.0
Wise,676.0
Wood,236.0
Yoakum,8.0
Young,70.0
Zapata,36.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Glasscock,0.0
Hall,0.0
Kenedy,0.0
McMullen,0.0
Roberts,0.0
Terrell,0.0
Throckmorton,0.0
Grand Total,662584.0
