County,Total_Registrations
Anderson,198.0
Andrews,74.0
Angelina,382.0
Aransas,158.0
Archer,40.0
Armstrong,4.0
Atascosa,208.0
Austin,244.0
Bailey,4.0
Bandera,248.0
Bastrop,1756.0
Baylor,4.0
Bee,90.0
Bell,4512.0
Bexar,46718.0
Blanco,238.0
Borden,2.0
Bosque,100.0
Bowie,452.0
Brazoria,7510.0
Brazos,2888.0
Brewster,52.0
Briscoe,2.0
Brooks,12.0
Brown,112.0
Burleson,76.0
Burnet,798.0
Caldwell,352.0
Calhoun,88.0
Callahan,64.0
Cameron,3668.0
Camp,42.0
Carson,20.0
Cass,134.0
Castro,18.0
Chambers,470.0
Cherokee,218.0
Childress,20.0
Clay,44.0
Coke,4.0
Coleman,16.0
Collin,63924.0
Collingsworth,2.0
Colorado,156.0
Comal,4978.0
Comanche,44.0
Concho,16.0
Cooke,300.0
Coryell,566.0
Crane,4.0
Crockett,16.0
Crosby,14.0
Culbertson,34.0
Dallam,40.0
Dallas,65322.0
Dawson,28.0
Deaf Smith,48.0
Delta,26.0
Denton,45004.0
Dewitt,60.0
Dickens,6.0
Dimmit,8.0
Donley,4.0
Duval,22.0
Eastland,64.0
Ector,772.0
Edwards,8.0
El Paso,11388.0
Ellis,3136.0
Erath,196.0
Falls,38.0
Fannin,164.0
Fayette,154.0
Fisher,6.0
Floyd,26.0
Foard,18.0
Fort Bend,36436.0
Franklin,44.0
Freestone,76.0
Frio,32.0
Gains,74.0
Galveston,6260.0
Garza,6.0
Gillespie,394.0
Goliad,12.0
Gonzales,70.0
Gray,72.0
Grayson,1494.0
Gregg,888.0
Grimes,192.0
Guadalupe,2426.0
Hale,116.0
Hamilton,42.0
Hansford,4.0
Hardeman,6.0
Hardin,262.0
Harris,93934.0
Harrison,340.0
Hartley,12.0
Haskell,14.0
Hays,8298.0
Hemphill,14.0
Henderson,454.0
Hidalgo,7134.0
Hill,224.0
Hockley,60.0
Hood,878.0
Hopkins,206.0
Houston,48.0
Howard,128.0
Hudspeth,6.0
Hunt,872.0
Hutchinson,54.0
Irion,4.0
Jack,26.0
Jackson,34.0
Jasper,96.0
Jeff Davis,28.0
Jefferson,1348.0
Jim Hogg,10.0
Jim Wells,146.0
Johnson,2286.0
Jones,42.0
Karnes,46.0
Kaufman,2830.0
Kendall,1758.0
Kent,2.0
Kerr,474.0
Kimble,16.0
King,8.0
Kinney,12.0
Kleberg,134.0
Knox,4.0
Lamar,224.0
Lamb,38.0
Lampasas,178.0
Lasalle,8.0
Lavaca,66.0
Lee,96.0
Leon,44.0
Liberty,378.0
Limestone,70.0
Lipscomb,8.0
Live Oak,30.0
Llano,364.0
Loving,2.0
Lubbock,2402.0
Lynn,32.0
Madison,46.0
Marion,40.0
Martin,14.0
Mason,28.0
Matagorda,114.0
Maverick,208.0
McCulloch,18.0
McLennan,2410.0
Medina,584.0
Menard,2.0
Midland,1028.0
Milam,138.0
Mills,102.0
Mitchell,6.0
Montague,94.0
Montgomery,16682.0
Moore,46.0
Morris,38.0
Motley,2.0
Nacogdoches,272.0
Navarro,206.0
Newton,20.0
Nolan,26.0
Nueces,2900.0
Ochiltree,14.0
Oldham,10.0
Orange,330.0
Palo Pinto,132.0
Panola,58.0
Parker,2662.0
Parmer,12.0
Pecos,24.0
Polk,388.0
Potter,582.0
Presidio,26.0
Rains,88.0
Randall,1174.0
Real,12.0
Red River,22.0
Reeves,46.0
Refugio,20.0
Robertson,48.0
Rockwall,3666.0
Runnels,28.0
Rusk,230.0
Sabine,24.0
San Augustine,22.0
San Jacinto,132.0
San Patricio,354.0
San Saba,24.0
Schleicher,2.0
Scurry,54.0
Shackelford,8.0
Shelby,48.0
Sherman,6.0
Smith,1994.0
Somervell,60.0
Starr,154.0
Stephens,24.0
Sterling,2.0
Stonewall,6.0
Sutton,8.0
Swisher,20.0
Tarrant,45618.0
Taylor,1030.0
Terry,42.0
Titus,150.0
Tom Green,720.0
Travis,81438.0
Trinity,46.0
Tyler,40.0
Upshur,168.0
Upton,10.0
Uvalde,92.0
Val Verde,292.0
Van Zandt,398.0
Victoria,496.0
Walker,312.0
Waller,1110.0
Ward,34.0
Washington,308.0
Webb,1512.0
Wharton,160.0
Wheeler,8.0
Wichita,750.0
Wilbarger,40.0
Willacy,54.0
Williamson,35386.0
Wilson,434.0
Winkler,10.0
Wise,658.0
Wood,232.0
Yoakum,8.0
Young,68.0
Zapata,36.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Glasscock,0.0
Hall,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Roberts,0.0
Terrell,0.0
Throckmorton,0.0
Grand Total,652664.0
