County,Total_Registrations
Anderson,128.0
Andrews,50.0
Angelina,260.0
Aransas,142.0
Archer,28.0
Atascosa,158.0
Austin,164.0
Bailey,4.0
Bandera,172.0
Bastrop,1192.0
Baylor,8.0
Bee,68.0
Bell,3156.0
Bexar,36778.0
Blanco,162.0
Borden,2.0
Bosque,82.0
Bowie,328.0
Brazoria,5416.0
Brazos,2140.0
Brewster,38.0
Briscoe,4.0
Brooks,8.0
Brown,90.0
Burleson,42.0
Burnet,616.0
Caldwell,204.0
Calhoun,66.0
Callahan,46.0
Cameron,2386.0
Camp,24.0
Carson,18.0
Cass,88.0
Castro,20.0
Chambers,354.0
Cherokee,142.0
Childress,12.0
Clay,32.0
Coke,6.0
Coleman,8.0
Collin,49670.0
Collingsworth,2.0
Colorado,100.0
Comal,3664.0
Comanche,28.0
Concho,14.0
Cooke,228.0
Coryell,364.0
Crockett,10.0
Crosby,8.0
Culbertson,26.0
Dallam,26.0
Dallas,51412.0
Dawson,18.0
Deaf Smith,40.0
Delta,24.0
Denton,34284.0
Dewitt,46.0
Dickens,6.0
Dimmit,8.0
Donley,2.0
Duval,14.0
Eastland,38.0
Ector,530.0
Edwards,6.0
El Paso,7852.0
Ellis,2188.0
Erath,156.0
Falls,18.0
Fannin,140.0
Fayette,102.0
Floyd,18.0
Foard,14.0
Fort Bend,26640.0
Franklin,42.0
Freestone,64.0
Frio,36.0
Gains,46.0
Galveston,4492.0
Garza,6.0
Gillespie,342.0
Goliad,6.0
Gonzales,50.0
Gray,48.0
Grayson,1124.0
Gregg,654.0
Grimes,148.0
Guadalupe,1788.0
Hale,82.0
Hall,4.0
Hamilton,26.0
Hansford,4.0
Hardeman,4.0
Hardin,212.0
Harris,70222.0
Harrison,276.0
Hartley,2.0
Haskell,12.0
Hays,5906.0
Hemphill,8.0
Henderson,342.0
Hidalgo,4806.0
Hill,162.0
Hockley,42.0
Hood,672.0
Hopkins,164.0
Houston,30.0
Howard,96.0
Hudspeth,8.0
Hunt,620.0
Hutchinson,36.0
Irion,2.0
Jack,18.0
Jackson,24.0
Jasper,62.0
Jeff Davis,24.0
Jefferson,1008.0
Jim Hogg,2.0
Jim Wells,90.0
Johnson,1554.0
Jones,32.0
Karnes,34.0
Kaufman,2014.0
Kendall,1490.0
Kent,2.0
Kerr,398.0
Kimble,6.0
King,4.0
Kinney,8.0
Kleberg,98.0
Knox,2.0
Lamar,176.0
Lamb,24.0
Lampasas,136.0
Lasalle,8.0
Lavaca,52.0
Lee,70.0
Leon,46.0
Liberty,232.0
Limestone,48.0
Lipscomb,6.0
Live Oak,18.0
Llano,250.0
Loving,2.0
Lubbock,1794.0
Lynn,26.0
Madison,34.0
Marion,38.0
Martin,4.0
Mason,16.0
Matagorda,74.0
Maverick,138.0
McCulloch,16.0
McLennan,1874.0
Medina,442.0
Midland,728.0
Milam,94.0
Mills,62.0
Mitchell,4.0
Montague,66.0
Montgomery,11850.0
Moore,38.0
Morris,46.0
Motley,2.0
Nacogdoches,214.0
Navarro,192.0
Newton,10.0
Nolan,24.0
Nueces,2092.0
Ochiltree,12.0
Oldham,6.0
Orange,228.0
Palo Pinto,98.0
Panola,46.0
Parker,1904.0
Parmer,10.0
Pecos,22.0
Polk,254.0
Potter,436.0
Presidio,14.0
Rains,62.0
Randall,910.0
Real,8.0
Red River,10.0
Reeves,42.0
Refugio,10.0
Roberts,2.0
Robertson,38.0
Rockwall,2684.0
Runnels,24.0
Rusk,184.0
Sabine,8.0
San Augustine,12.0
San Jacinto,94.0
San Patricio,232.0
San Saba,14.0
Scurry,44.0
Shackelford,6.0
Shelby,38.0
Sherman,8.0
Smith,1498.0
Somervell,40.0
Starr,100.0
Stephens,8.0
Sterling,2.0
Stonewall,2.0
Sutton,2.0
Swisher,16.0
Tarrant,34692.0
Taylor,818.0
Terry,24.0
Throckmorton,2.0
Titus,104.0
Tom Green,536.0
Travis,62998.0
Trinity,38.0
Tyler,32.0
Upshur,136.0
Upton,4.0
Uvalde,54.0
Val Verde,208.0
Van Zandt,286.0
Victoria,338.0
Walker,222.0
Waller,756.0
Ward,24.0
Washington,224.0
Webb,928.0
Wharton,122.0
Wheeler,6.0
Wichita,634.0
Wilbarger,28.0
Willacy,44.0
Williamson,25128.0
Wilson,338.0
Winkler,6.0
Wise,464.0
Wood,178.0
Yoakum,6.0
Young,68.0
Zapata,16.0
Zavala,4.0
Armstrong,0.0
Cochran,0.0
Fisher,0.0
Menard,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,491332.0
