County,Total_Registrations
Anderson,138.0
Andrews,48.0
Angelina,272.0
Aransas,144.0
Archer,28.0
Armstrong,4.0
Atascosa,156.0
Austin,176.0
Bailey,4.0
Bandera,180.0
Bastrop,1238.0
Baylor,8.0
Bee,68.0
Bell,3222.0
Bexar,37450.0
Blanco,160.0
Borden,2.0
Bosque,80.0
Bowie,344.0
Brazoria,5682.0
Brazos,2216.0
Brewster,38.0
Briscoe,4.0
Brooks,8.0
Brown,90.0
Burleson,42.0
Burnet,634.0
Caldwell,218.0
Calhoun,70.0
Callahan,50.0
Cameron,2524.0
Camp,26.0
Carson,18.0
Cass,96.0
Castro,20.0
Chambers,362.0
Cherokee,144.0
Childress,12.0
Clay,30.0
Coke,6.0
Coleman,10.0
Collin,51562.0
Collingsworth,2.0
Colorado,108.0
Comal,3794.0
Comanche,30.0
Concho,14.0
Cooke,232.0
Coryell,376.0
Crockett,8.0
Crosby,10.0
Culbertson,30.0
Dallam,28.0
Dallas,53814.0
Dawson,16.0
Deaf Smith,44.0
Delta,26.0
Denton,35510.0
Dewitt,48.0
Dickens,6.0
Dimmit,8.0
Duval,14.0
Eastland,40.0
Ector,530.0
Edwards,6.0
El Paso,8266.0
Ellis,2264.0
Erath,170.0
Falls,18.0
Fannin,142.0
Fayette,110.0
Fisher,2.0
Floyd,18.0
Foard,16.0
Fort Bend,27802.0
Franklin,44.0
Freestone,62.0
Frio,36.0
Gains,52.0
Galveston,4686.0
Garza,4.0
Gillespie,350.0
Goliad,8.0
Gonzales,50.0
Gray,48.0
Grayson,1164.0
Gregg,682.0
Grimes,164.0
Guadalupe,1812.0
Hale,90.0
Hall,4.0
Hamilton,28.0
Hansford,4.0
Hardeman,4.0
Hardin,222.0
Harris,73240.0
Harrison,282.0
Hartley,4.0
Haskell,12.0
Hays,6186.0
Hemphill,10.0
Henderson,354.0
Hidalgo,5040.0
Hill,178.0
Hockley,46.0
Hood,688.0
Hopkins,162.0
Houston,32.0
Howard,100.0
Hudspeth,8.0
Hunt,630.0
Hutchinson,36.0
Irion,2.0
Jack,18.0
Jackson,24.0
Jasper,64.0
Jeff Davis,24.0
Jefferson,1034.0
Jim Hogg,2.0
Jim Wells,86.0
Johnson,1584.0
Jones,34.0
Karnes,40.0
Kaufman,2076.0
Kendall,1500.0
Kent,2.0
Kerr,392.0
Kimble,6.0
King,4.0
Kinney,8.0
Kleberg,104.0
Knox,2.0
Lamar,176.0
Lamb,28.0
Lampasas,146.0
Lasalle,6.0
Lavaca,52.0
Lee,68.0
Leon,46.0
Liberty,242.0
Limestone,46.0
Lipscomb,6.0
Live Oak,20.0
Llano,250.0
Loving,2.0
Lubbock,1818.0
Lynn,28.0
Madison,36.0
Marion,38.0
Martin,4.0
Mason,16.0
Matagorda,78.0
Maverick,148.0
McCulloch,18.0
McLennan,1916.0
Medina,448.0
Menard,2.0
Midland,776.0
Milam,96.0
Mills,76.0
Mitchell,4.0
Montague,70.0
Montgomery,12512.0
Moore,40.0
Morris,46.0
Motley,2.0
Nacogdoches,216.0
Navarro,200.0
Newton,10.0
Nolan,24.0
Nueces,2174.0
Ochiltree,12.0
Oldham,6.0
Orange,254.0
Palo Pinto,110.0
Panola,52.0
Parker,1982.0
Parmer,10.0
Pecos,24.0
Polk,254.0
Potter,442.0
Presidio,12.0
Rains,60.0
Randall,928.0
Real,8.0
Red River,10.0
Reeves,46.0
Refugio,10.0
Roberts,2.0
Robertson,42.0
Rockwall,2748.0
Runnels,28.0
Rusk,194.0
Sabine,8.0
San Augustine,12.0
San Jacinto,100.0
San Patricio,240.0
San Saba,14.0
Scurry,42.0
Shackelford,6.0
Shelby,40.0
Sherman,8.0
Smith,1522.0
Somervell,44.0
Starr,100.0
Stephens,6.0
Sterling,2.0
Stonewall,4.0
Sutton,4.0
Swisher,14.0
Tarrant,35634.0
Taylor,820.0
Terry,26.0
Throckmorton,2.0
Titus,102.0
Tom Green,558.0
Travis,65168.0
Trinity,42.0
Tyler,30.0
Upshur,140.0
Upton,4.0
Uvalde,56.0
Val Verde,220.0
Van Zandt,288.0
Victoria,352.0
Walker,238.0
Waller,776.0
Ward,26.0
Washington,240.0
Webb,970.0
Wharton,128.0
Wheeler,4.0
Wichita,638.0
Wilbarger,28.0
Willacy,46.0
Williamson,26128.0
Wilson,350.0
Winkler,6.0
Wise,480.0
Wood,182.0
Yoakum,6.0
Young,66.0
Zapata,16.0
Zavala,4.0
Cochran,0.0
Donley,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,509672.0
