County,Total_Registrations
Anderson,152.0
Andrews,58.0
Angelina,316.0
Aransas,154.0
Archer,32.0
Armstrong,4.0
Atascosa,182.0
Austin,208.0
Bailey,4.0
Bandera,216.0
Bastrop,1488.0
Baylor,4.0
Bee,72.0
Bell,3704.0
Bexar,42278.0
Blanco,208.0
Borden,2.0
Bosque,98.0
Bowie,396.0
Brazoria,6562.0
Brazos,2482.0
Brewster,44.0
Briscoe,2.0
Brooks,12.0
Brown,92.0
Burleson,64.0
Burnet,696.0
Caldwell,282.0
Calhoun,78.0
Callahan,60.0
Cameron,3062.0
Camp,32.0
Carson,16.0
Cass,104.0
Castro,20.0
Chambers,422.0
Cherokee,178.0
Childress,14.0
Clay,32.0
Coke,4.0
Coleman,12.0
Collin,57412.0
Collingsworth,2.0
Colorado,120.0
Comal,4368.0
Comanche,38.0
Concho,16.0
Cooke,248.0
Coryell,462.0
Crockett,12.0
Crosby,12.0
Culbertson,32.0
Dallam,36.0
Dallas,60332.0
Dawson,22.0
Deaf Smith,40.0
Delta,28.0
Denton,40228.0
Dewitt,50.0
Dickens,6.0
Dimmit,10.0
Donley,2.0
Duval,16.0
Eastland,56.0
Ector,604.0
Edwards,6.0
El Paso,9602.0
Ellis,2670.0
Erath,184.0
Falls,30.0
Fannin,154.0
Fayette,138.0
Fisher,4.0
Floyd,18.0
Foard,16.0
Fort Bend,31898.0
Franklin,42.0
Freestone,66.0
Frio,30.0
Gains,64.0
Galveston,5486.0
Garza,6.0
Gillespie,344.0
Goliad,12.0
Gonzales,56.0
Gray,62.0
Grayson,1308.0
Gregg,764.0
Grimes,180.0
Guadalupe,2128.0
Hale,90.0
Hall,4.0
Hamilton,36.0
Hansford,4.0
Hardeman,2.0
Hardin,232.0
Harris,84100.0
Harrison,292.0
Hartley,10.0
Haskell,14.0
Hays,7340.0
Hemphill,12.0
Henderson,406.0
Hidalgo,6018.0
Hill,198.0
Hockley,46.0
Hood,772.0
Hopkins,176.0
Houston,34.0
Howard,116.0
Hudspeth,4.0
Hunt,732.0
Hutchinson,46.0
Irion,4.0
Jack,22.0
Jackson,24.0
Jasper,76.0
Jeff Davis,26.0
Jefferson,1130.0
Jim Hogg,8.0
Jim Wells,100.0
Johnson,1894.0
Jones,34.0
Karnes,46.0
Kaufman,2392.0
Kendall,1642.0
Kent,4.0
Kerr,430.0
Kimble,6.0
King,2.0
Kinney,10.0
Kleberg,120.0
Knox,4.0
Lamar,200.0
Lamb,32.0
Lampasas,146.0
Lasalle,6.0
Lavaca,58.0
Lee,78.0
Leon,44.0
Liberty,300.0
Limestone,54.0
Lipscomb,8.0
Live Oak,20.0
Llano,294.0
Loving,2.0
Lubbock,1996.0
Lynn,30.0
Madison,40.0
Marion,36.0
Martin,6.0
Mason,22.0
Matagorda,102.0
Maverick,178.0
McCulloch,16.0
McLennan,2130.0
Medina,510.0
Menard,2.0
Midland,868.0
Milam,108.0
Mills,96.0
Mitchell,4.0
Montague,74.0
Montgomery,14520.0
Moore,42.0
Morris,44.0
Motley,2.0
Nacogdoches,242.0
Navarro,208.0
Newton,14.0
Nolan,24.0
Nueces,2500.0
Ochiltree,16.0
Oldham,6.0
Orange,282.0
Palo Pinto,124.0
Panola,56.0
Parker,2258.0
Parmer,10.0
Pecos,28.0
Polk,314.0
Potter,484.0
Presidio,18.0
Rains,70.0
Randall,1046.0
Real,10.0
Red River,16.0
Reeves,38.0
Refugio,14.0
Roberts,2.0
Robertson,46.0
Rockwall,3184.0
Runnels,22.0
Rusk,190.0
Sabine,14.0
San Augustine,16.0
San Jacinto,114.0
San Patricio,316.0
San Saba,16.0
Scurry,36.0
Shackelford,6.0
Shelby,36.0
Sherman,8.0
Smith,1740.0
Somervell,50.0
Starr,128.0
Stephens,16.0
Sterling,2.0
Stonewall,6.0
Sutton,6.0
Swisher,20.0
Tarrant,40262.0
Taylor,888.0
Terry,32.0
Throckmorton,2.0
Titus,116.0
Tom Green,626.0
Travis,73368.0
Trinity,44.0
Tyler,32.0
Upshur,156.0
Upton,10.0
Uvalde,70.0
Val Verde,228.0
Van Zandt,320.0
Victoria,408.0
Walker,262.0
Waller,924.0
Ward,22.0
Washington,268.0
Webb,1186.0
Wharton,144.0
Wheeler,4.0
Wichita,702.0
Wilbarger,36.0
Willacy,52.0
Williamson,30054.0
Wilson,366.0
Winkler,6.0
Wise,562.0
Wood,196.0
Yoakum,4.0
Young,66.0
Zapata,24.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,579192.0
