County,Total_Registrations
Anderson,178.0
Andrews,62.0
Angelina,344.0
Aransas,162.0
Archer,32.0
Armstrong,4.0
Atascosa,204.0
Austin,232.0
Bailey,4.0
Bandera,244.0
Bastrop,1632.0
Baylor,4.0
Bee,82.0
Bell,4192.0
Bexar,43920.0
Blanco,218.0
Borden,2.0
Bosque,94.0
Bowie,426.0
Brazoria,7128.0
Brazos,2718.0
Brewster,48.0
Briscoe,2.0
Brooks,12.0
Brown,96.0
Burleson,76.0
Burnet,762.0
Caldwell,318.0
Calhoun,82.0
Callahan,62.0
Cameron,3346.0
Camp,44.0
Carson,20.0
Cass,116.0
Castro,18.0
Chambers,440.0
Cherokee,200.0
Childress,16.0
Clay,36.0
Coke,4.0
Coleman,14.0
Collin,61142.0
Collingsworth,2.0
Colorado,140.0
Comal,4694.0
Comanche,40.0
Concho,16.0
Cooke,268.0
Coryell,514.0
Crane,2.0
Crockett,16.0
Crosby,12.0
Culbertson,32.0
Dallam,38.0
Dallas,62368.0
Dawson,28.0
Deaf Smith,48.0
Delta,26.0
Denton,43198.0
Dewitt,54.0
Dickens,6.0
Dimmit,10.0
Donley,2.0
Duval,22.0
Eastland,58.0
Ector,710.0
Edwards,8.0
El Paso,10580.0
Ellis,2932.0
Erath,186.0
Falls,36.0
Fannin,152.0
Fayette,146.0
Fisher,4.0
Floyd,26.0
Foard,18.0
Fort Bend,34550.0
Franklin,46.0
Freestone,68.0
Frio,28.0
Gains,64.0
Galveston,5904.0
Garza,4.0
Gillespie,366.0
Goliad,12.0
Gonzales,62.0
Gray,58.0
Grayson,1380.0
Gregg,826.0
Grimes,192.0
Guadalupe,2330.0
Hale,104.0
Hall,2.0
Hamilton,42.0
Hansford,6.0
Hardeman,6.0
Hardin,244.0
Harris,89548.0
Harrison,316.0
Hartley,12.0
Haskell,12.0
Hays,7920.0
Hemphill,12.0
Henderson,436.0
Hidalgo,6622.0
Hill,214.0
Hockley,54.0
Hood,824.0
Hopkins,182.0
Houston,46.0
Howard,114.0
Hudspeth,6.0
Hunt,810.0
Hutchinson,48.0
Irion,4.0
Jack,24.0
Jackson,28.0
Jasper,82.0
Jeff Davis,26.0
Jefferson,1214.0
Jim Hogg,8.0
Jim Wells,128.0
Johnson,2112.0
Jones,36.0
Karnes,48.0
Kaufman,2660.0
Kendall,1696.0
Kent,2.0
Kerr,460.0
Kimble,10.0
King,6.0
Kinney,10.0
Kleberg,128.0
Knox,6.0
Lamar,216.0
Lamb,36.0
Lampasas,166.0
Lasalle,6.0
Lavaca,62.0
Lee,90.0
Leon,40.0
Liberty,338.0
Limestone,70.0
Lipscomb,8.0
Live Oak,28.0
Llano,336.0
Loving,2.0
Lubbock,2212.0
Lynn,32.0
Madison,42.0
Marion,40.0
Martin,8.0
Mason,28.0
Matagorda,104.0
Maverick,196.0
McCulloch,20.0
McLennan,2272.0
Medina,534.0
Menard,2.0
Midland,950.0
Milam,124.0
Mills,102.0
Mitchell,6.0
Montague,84.0
Montgomery,15622.0
Moore,42.0
Morris,42.0
Motley,2.0
Nacogdoches,244.0
Navarro,210.0
Newton,16.0
Nolan,20.0
Nueces,2698.0
Ochiltree,14.0
Oldham,8.0
Orange,306.0
Palo Pinto,130.0
Panola,54.0
Parker,2486.0
Parmer,10.0
Pecos,22.0
Polk,354.0
Potter,538.0
Presidio,20.0
Rains,80.0
Randall,1112.0
Real,10.0
Red River,22.0
Reeves,42.0
Refugio,16.0
Robertson,44.0
Rockwall,3430.0
Runnels,24.0
Rusk,200.0
Sabine,18.0
San Augustine,16.0
San Jacinto,126.0
San Patricio,322.0
San Saba,24.0
Scurry,40.0
Shackelford,6.0
Shelby,40.0
Sherman,6.0
Smith,1848.0
Somervell,60.0
Starr,138.0
Stephens,22.0
Sterling,2.0
Stonewall,6.0
Sutton,6.0
Swisher,18.0
Tarrant,43182.0
Taylor,948.0
Terry,40.0
Throckmorton,2.0
Titus,132.0
Tom Green,672.0
Travis,78396.0
Trinity,40.0
Tyler,36.0
Upshur,164.0
Upton,10.0
Uvalde,80.0
Val Verde,270.0
Van Zandt,362.0
Victoria,454.0
Walker,296.0
Waller,1046.0
Ward,28.0
Washington,288.0
Webb,1302.0
Wharton,150.0
Wheeler,8.0
Wichita,724.0
Wilbarger,36.0
Willacy,56.0
Williamson,33574.0
Wilson,404.0
Winkler,8.0
Wise,622.0
Wood,216.0
Yoakum,8.0
Young,70.0
Zapata,26.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Roberts,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,619614.0
