County,Total_Registrations
Anderson,150.0
Andrews,50.0
Angelina,288.0
Aransas,150.0
Archer,30.0
Armstrong,4.0
Atascosa,174.0
Austin,192.0
Bailey,4.0
Bandera,182.0
Bastrop,1290.0
Baylor,6.0
Bee,68.0
Bell,3368.0
Bexar,39238.0
Blanco,184.0
Borden,2.0
Bosque,96.0
Bowie,364.0
Brazoria,5928.0
Brazos,2300.0
Brewster,38.0
Briscoe,4.0
Brooks,10.0
Brown,90.0
Burleson,54.0
Burnet,646.0
Caldwell,248.0
Calhoun,76.0
Callahan,56.0
Cameron,2722.0
Camp,30.0
Carson,16.0
Cass,98.0
Castro,20.0
Chambers,374.0
Cherokee,154.0
Childress,14.0
Clay,30.0
Coke,6.0
Coleman,10.0
Collin,53732.0
Collingsworth,2.0
Colorado,112.0
Comal,3990.0
Comanche,38.0
Concho,16.0
Cooke,238.0
Coryell,414.0
Crockett,10.0
Crosby,14.0
Culbertson,30.0
Dallam,30.0
Dallas,56536.0
Dawson,16.0
Deaf Smith,42.0
Delta,28.0
Denton,37004.0
Dewitt,46.0
Dickens,6.0
Dimmit,8.0
Duval,18.0
Eastland,46.0
Ector,530.0
Edwards,6.0
El Paso,8582.0
Ellis,2400.0
Erath,180.0
Falls,18.0
Fannin,144.0
Fayette,130.0
Fisher,2.0
Floyd,18.0
Foard,16.0
Fort Bend,29206.0
Franklin,40.0
Freestone,64.0
Frio,34.0
Gains,52.0
Galveston,4982.0
Garza,6.0
Gillespie,340.0
Goliad,10.0
Gonzales,52.0
Gray,52.0
Grayson,1190.0
Gregg,724.0
Grimes,172.0
Guadalupe,1916.0
Hale,92.0
Hall,4.0
Hamilton,32.0
Hansford,6.0
Hardeman,2.0
Hardin,222.0
Harris,76840.0
Harrison,294.0
Hartley,6.0
Haskell,14.0
Hays,6550.0
Hemphill,10.0
Henderson,366.0
Hidalgo,5440.0
Hill,194.0
Hockley,42.0
Hood,706.0
Hopkins,160.0
Houston,30.0
Howard,110.0
Hudspeth,6.0
Hunt,658.0
Hutchinson,38.0
Irion,2.0
Jack,18.0
Jackson,24.0
Jasper,72.0
Jeff Davis,24.0
Jefferson,1068.0
Jim Hogg,4.0
Jim Wells,96.0
Johnson,1640.0
Jones,34.0
Karnes,40.0
Kaufman,2170.0
Kendall,1544.0
Kent,4.0
Kerr,414.0
Kimble,8.0
King,4.0
Kinney,12.0
Kleberg,106.0
Knox,2.0
Lamar,178.0
Lamb,32.0
Lampasas,146.0
Lasalle,6.0
Lavaca,60.0
Lee,72.0
Leon,42.0
Liberty,270.0
Limestone,50.0
Lipscomb,6.0
Live Oak,20.0
Llano,282.0
Loving,2.0
Lubbock,1878.0
Lynn,26.0
Madison,34.0
Marion,38.0
Martin,4.0
Mason,20.0
Matagorda,78.0
Maverick,152.0
McCulloch,16.0
McLennan,1972.0
Medina,458.0
Menard,2.0
Midland,814.0
Milam,98.0
Mills,94.0
Mitchell,4.0
Montague,74.0
Montgomery,13264.0
Moore,42.0
Morris,46.0
Motley,2.0
Nacogdoches,222.0
Navarro,194.0
Newton,10.0
Nolan,26.0
Nueces,2302.0
Ochiltree,12.0
Oldham,6.0
Orange,270.0
Palo Pinto,116.0
Panola,58.0
Parker,2026.0
Parmer,10.0
Pecos,22.0
Polk,276.0
Potter,436.0
Presidio,16.0
Rains,66.0
Randall,976.0
Real,10.0
Red River,10.0
Reeves,42.0
Refugio,10.0
Roberts,2.0
Robertson,46.0
Rockwall,2880.0
Runnels,26.0
Rusk,188.0
Sabine,10.0
San Augustine,10.0
San Jacinto,104.0
San Patricio,264.0
San Saba,14.0
Scurry,44.0
Shackelford,6.0
Shelby,38.0
Sherman,8.0
Smith,1598.0
Somervell,42.0
Starr,112.0
Stephens,8.0
Sterling,2.0
Stonewall,6.0
Sutton,4.0
Swisher,14.0
Tarrant,37036.0
Taylor,834.0
Terry,28.0
Throckmorton,2.0
Titus,100.0
Tom Green,574.0
Travis,68346.0
Trinity,44.0
Tyler,32.0
Upshur,136.0
Upton,4.0
Uvalde,58.0
Val Verde,228.0
Van Zandt,294.0
Victoria,370.0
Walker,238.0
Waller,796.0
Ward,22.0
Washington,260.0
Webb,1030.0
Wharton,130.0
Wheeler,4.0
Wichita,664.0
Wilbarger,34.0
Willacy,44.0
Williamson,27220.0
Wilson,350.0
Winkler,6.0
Wise,502.0
Wood,182.0
Yoakum,6.0
Young,68.0
Zapata,18.0
Zavala,4.0
Cochran,0.0
Donley,0.0
Cottle,0.0
Crane,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,533602.0
