County,Total_Registrations
Anderson,160.0
Andrews,62.0
Angelina,324.0
Aransas,158.0
Archer,32.0
Armstrong,4.0
Atascosa,186.0
Austin,212.0
Bailey,4.0
Bandera,226.0
Bastrop,1530.0
Baylor,4.0
Bee,78.0
Bell,3898.0
Bexar,42724.0
Blanco,210.0
Borden,2.0
Bosque,94.0
Bowie,400.0
Brazoria,6770.0
Brazos,2568.0
Brewster,46.0
Briscoe,2.0
Brooks,12.0
Brown,88.0
Burleson,70.0
Burnet,722.0
Caldwell,286.0
Calhoun,78.0
Callahan,60.0
Cameron,3196.0
Camp,38.0
Carson,16.0
Cass,108.0
Castro,18.0
Chambers,440.0
Cherokee,178.0
Childress,16.0
Clay,36.0
Coke,4.0
Coleman,12.0
Collin,58442.0
Collingsworth,2.0
Colorado,134.0
Comal,4486.0
Comanche,38.0
Concho,18.0
Cooke,266.0
Coryell,476.0
Crane,2.0
Crockett,12.0
Crosby,12.0
Culbertson,32.0
Dallam,36.0
Dallas,61102.0
Dawson,26.0
Deaf Smith,42.0
Delta,28.0
Denton,41296.0
Dewitt,52.0
Dickens,6.0
Dimmit,10.0
Donley,2.0
Duval,18.0
Eastland,60.0
Ector,632.0
Edwards,6.0
El Paso,9992.0
Ellis,2776.0
Erath,188.0
Falls,32.0
Fannin,158.0
Fayette,130.0
Fisher,4.0
Floyd,18.0
Foard,16.0
Fort Bend,32864.0
Franklin,46.0
Freestone,66.0
Frio,26.0
Gains,64.0
Galveston,5672.0
Garza,4.0
Gillespie,348.0
Goliad,10.0
Gonzales,60.0
Gray,62.0
Grayson,1326.0
Gregg,784.0
Grimes,186.0
Guadalupe,2226.0
Hale,94.0
Hall,4.0
Hamilton,38.0
Hansford,4.0
Hardeman,2.0
Hardin,238.0
Harris,86034.0
Harrison,302.0
Hartley,10.0
Haskell,12.0
Hays,7562.0
Hemphill,12.0
Henderson,412.0
Hidalgo,6224.0
Hill,204.0
Hockley,52.0
Hood,770.0
Hopkins,176.0
Houston,38.0
Howard,114.0
Hudspeth,4.0
Hunt,748.0
Hutchinson,48.0
Irion,4.0
Jack,24.0
Jackson,26.0
Jasper,78.0
Jeff Davis,26.0
Jefferson,1138.0
Jim Hogg,6.0
Jim Wells,106.0
Johnson,1966.0
Jones,36.0
Karnes,46.0
Kaufman,2496.0
Kendall,1666.0
Kent,4.0
Kerr,440.0
Kimble,8.0
King,4.0
Kinney,10.0
Kleberg,120.0
Knox,4.0
Lamar,204.0
Lamb,32.0
Lampasas,156.0
Lasalle,8.0
Lavaca,58.0
Lee,82.0
Leon,42.0
Liberty,312.0
Limestone,56.0
Lipscomb,8.0
Live Oak,28.0
Llano,318.0
Loving,2.0
Lubbock,2074.0
Lynn,32.0
Madison,40.0
Marion,38.0
Martin,6.0
Mason,22.0
Matagorda,98.0
Maverick,180.0
McCulloch,18.0
McLennan,2158.0
Medina,518.0
Menard,2.0
Midland,880.0
Milam,120.0
Mills,102.0
Mitchell,4.0
Montague,74.0
Montgomery,14904.0
Moore,42.0
Morris,42.0
Motley,2.0
Nacogdoches,244.0
Navarro,206.0
Newton,14.0
Nolan,24.0
Nueces,2598.0
Ochiltree,14.0
Oldham,6.0
Orange,296.0
Palo Pinto,122.0
Panola,54.0
Parker,2326.0
Parmer,10.0
Pecos,24.0
Polk,330.0
Potter,500.0
Presidio,18.0
Rains,72.0
Randall,1052.0
Real,12.0
Red River,20.0
Reeves,40.0
Refugio,16.0
Robertson,46.0
Rockwall,3246.0
Runnels,22.0
Rusk,192.0
Sabine,14.0
San Augustine,16.0
San Jacinto,120.0
San Patricio,320.0
San Saba,22.0
Scurry,36.0
Shackelford,8.0
Shelby,38.0
Sherman,8.0
Smith,1780.0
Somervell,54.0
Starr,134.0
Stephens,20.0
Sterling,2.0
Stonewall,6.0
Sutton,6.0
Swisher,18.0
Tarrant,41420.0
Taylor,916.0
Terry,34.0
Throckmorton,2.0
Titus,126.0
Tom Green,634.0
Travis,75398.0
Trinity,38.0
Tyler,32.0
Upshur,160.0
Upton,10.0
Uvalde,72.0
Val Verde,240.0
Van Zandt,326.0
Victoria,412.0
Walker,268.0
Waller,948.0
Ward,24.0
Washington,266.0
Webb,1214.0
Wharton,140.0
Wheeler,6.0
Wichita,704.0
Wilbarger,38.0
Willacy,56.0
Williamson,31456.0
Wilson,384.0
Winkler,8.0
Wise,590.0
Wood,206.0
Yoakum,4.0
Young,66.0
Zapata,26.0
Zavala,8.0
Cochran,0.0
Cottle,0.0
Glasscock,0.0
Kenedy,0.0
McMullen,0.0
Reagan,0.0
Roberts,0.0
Schleicher,0.0
Terrell,0.0
Grand Total,593676.0
