County Name,County Number,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**,Daily Vehicle Miles*,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*
Red River,194.0,"15,076",0.06%,1.28,"11,793",0.04%,"485,133.426",0.08%,41.137 
Reeves,195.0,"17,663",0.07%,1.17,"15,034",0.05%,"1,778,554.779",0.28%,118.302 
Refugio,196.0,"8,262",0.03%,1.21,"6,848",0.02%,"822,834.805",0.13%,120.157 
Roberts,197.0,"1,399",0.01%,1.72,813,0.00%,"80,645.921",0.01%,99.195 
Robertson,198.0,"23,042",0.09%,1.31,"17,653",0.06%,"1,041,750.881",0.17%,59.013 
Rockwall,199.0,"117,260",0.43%,0.87,"135,364",0.43%,"3,011,488.192",0.48%,22.247 
Runnels,200.0,"13,105",0.05%,1.36,"9,611",0.03%,"476,422.293",0.08%,49.571 
Rusk,201.0,"55,587",0.21%,1.04,"53,498",0.17%,"1,377,320.504",0.22%,25.745 
Sabine,202.0,"13,870",0.05%,1.39,"9,984",0.03%,"282,129.596",0.05%,28.258 
San Augustine,203.0,"10,040",0.04%,1.27,"7,887",0.02%,"275,345.801",0.04%,34.911 
San Jacinto,204.0,"33,210",0.12%,1.15,"28,777",0.09%,"913,057.729",0.15%,31.729 
San Patricio,205.0,"72,432",0.27%,1.01,"71,946",0.23%,"2,423,641.019",0.39%,33.687 
San Saba,206.0,"8,460",0.03%,1.5,"5,626",0.02%,"195,883.925",0.03%,34.818 
Schleicher,207.0,"4,162",0.02%,1.86,"2,238",0.01%,"118,209.866",0.02%,52.819 
Scurry,208.0,"24,590",0.09%,1.53,"16,044",0.05%,"670,074.937",0.11%,41.765 
Shackelford,209.0,"4,438",0.02%,1.51,"2,938",0.01%,"159,333.526",0.03%,54.232 
Shelby,210.0,"29,594",0.11%,1.23,"24,094",0.08%,"784,777.506",0.13%,32.571 
Sherman,211.0,"3,225",0.01%,1.16,"2,773",0.01%,"284,651.938",0.05%,102.651 
Smith,212.0,"248,792",0.92%,1.02,"245,101",0.78%,"5,946,792.360",0.95%,24.263 
Somervell,213.0,"12,756",0.05%,1.24,"10,288",0.03%,"329,236.769",0.05%,32.002 
Starr,214.0,"61,015",0.23%,0.91,"66,763",0.21%,"1,091,165.375",0.17%,16.344 
Stephens,215.0,"10,301",0.04%,1.12,"9,210",0.03%,"265,481.024",0.04%,28.825 
Sterling,216.0,"2,367",0.01%,1.75,"1,350",0.00%,"273,622.625",0.04%,202.683 
Stonewall,217.0,"1,962",0.01%,1.59,"1,237",0.00%,"78,641.640",0.01%,63.574 
Sutton,218.0,"5,607",0.02%,1.67,"3,350",0.01%,"713,556.790",0.11%,213.002 
Swisher,219.0,"7,081",0.03%,1.04,"6,790",0.02%,"455,447.457",0.07%,67.076 
Tarrant,220.0,"1,743,345",6.47%,0.78,"2,245,229",7.11%,"37,894,703.796",6.07%,16.878 
Taylor,221.0,"137,904",0.51%,0.92,"149,153",0.47%,"2,964,665.286",0.47%,19.877 
Terrell,222.0,"1,105",0.00%,1.5,737,0.00%,"113,946.482",0.02%,154.609 
Terry,223.0,"12,259",0.05%,1.06,"11,581",0.04%,"585,969.664",0.09%,50.598 
Throckmorton,224.0,"2,215",0.01%,1.4,"1,587",0.01%,"61,631.410",0.01%,38.835 
Titus,225.0,"33,598",0.12%,1.06,"31,626",0.10%,"1,201,995.094",0.19%,38.007 
