model,battery_capacity_kWh,efficiency_wh_per_km,range_km,fast_charging_power_kw_dc,fast_charge_port
xpeng p7 awd performance,82.7,164,460,138.0,CCS
xpeng p7 rwd long range,82.7,144,495,138.0,CCS
xpeng p7 wing edition,82.7,164,455,138.0,CCS
zeekr 001 long range rwd,94.0,152,505,135.0,CCS
zeekr 001 performance awd,94.0,159,480,135.0,CCS
zeekr 001 privilege awd,94.0,162,480,135.0,CCS
zeekr 7x long range rwd,94.0,153,475,260.0,CCS
zeekr 7x performance awd,94.0,173,450,260.0,CCS
zeekr 7x premium rwd,71.0,148,365,240.0,CCS
zeekr x core rwd (my25),49.0,148,265,70.0,CCS
zeekr x long range rwd (my25),65.0,146,360,114.0,CCS
zeekr x privilege awd (my25),65.0,153,350,114.0,CCS
,41.2,125,250,65.0,CCS
