County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD F-150 LARIAT,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116â€ DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GMC SIERRA EV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAMBORGHINI REVUELTO,LAND ROVER RANGE ROVER,LAND ROVER RANGE ROVER SPORT,LEXUS NX,LEXUS RX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,PORSCHE TAYCAN 4S,PORSCHE TAYCAN TURBO/TURBO S,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Bastrop,,,,,,2.0,,1.0,1.0,2.0,2.0,,,,3.0,2.0,,2.0,3.0,,,1.0,1.0,3.0,7.0,1.0,,,,,6.0,6.0,10.0,26.0,2.0,,,16.0,10.0,,,,,,2.0,,,,7.0,4.0,25.0,,,11.0,39.0,,9.0,,1.0,,,,,,1.0,,,,4.0,2.0,1.0,10.0,1.0,,1.0,,,,,,,3.0,18.0,,6.0,3.0,17.0,,1.0,4.0,6.0,,,,,,,1.0,,1.0,,,,2.0,,,,,3.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,16.0,,,,3.0,,,4.0,,,,,2.0,7.0,,,,,,2.0,20.0,210.0,41.0,22.0,199.0,,,3.0,2.0,19.0,,7.0,,1.0,13.0,,2.0,1.0,,,2.0,6.0,1.0,,,,878.0
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bee,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,3.0,,,,6.0,,,,,,,,,,,,,2.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,1.0,10.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,45.0
Bell,2.0,1.0,,,,4.0,,1.0,2.0,6.0,1.0,,,,12.0,24.0,2.0,17.0,19.0,3.0,2.0,5.0,6.0,5.0,16.0,1.0,,,1.0,1.0,26.0,11.0,16.0,33.0,4.0,1.0,3.0,72.0,56.0,,2.0,,,,9.0,,,,21.0,6.0,30.0,,2.0,32.0,64.0,,4.0,,,,1.0,1.0,,6.0,4.0,,,1.0,10.0,4.0,2.0,23.0,,16.0,4.0,,3.0,2.0,10.0,,1.0,15.0,83.0,,21.0,10.0,17.0,2.0,7.0,1.0,71.0,,,,4.0,1.0,1.0,,5.0,8.0,,3.0,,16.0,,,,3.0,5.0,5.0,7.0,6.0,,,1.0,4.0,1.0,,2.0,1.0,1.0,15.0,,35.0,34.0,,,,7.0,,1.0,1.0,,,,,10.0,9.0,,,1.0,,1.0,4.0,19.0,495.0,105.0,52.0,411.0,,,6.0,5.0,38.0,,12.0,,3.0,27.0,6.0,7.0,1.0,,3.0,6.0,14.0,16.0,,,,2256.0
Bexar,30.0,6.0,18.0,5.0,2.0,105.0,71.0,44.0,70.0,91.0,63.0,11.0,,1.0,180.0,143.0,11.0,156.0,202.0,40.0,9.0,32.0,81.0,20.0,223.0,8.0,,,5.0,21.0,190.0,62.0,306.0,473.0,40.0,124.0,16.0,363.0,369.0,,4.0,2.0,,3.0,21.0,1.0,,13.0,95.0,69.0,284.0,1.0,11.0,154.0,521.0,,47.0,,9.0,11.0,13.0,2.0,8.0,36.0,41.0,1.0,,,75.0,51.0,26.0,353.0,5.0,70.0,113.0,5.0,7.0,35.0,,2.0,14.0,357.0,551.0,2.0,379.0,43.0,641.0,3.0,46.0,20.0,728.0,,26.0,5.0,39.0,10.0,86.0,3.0,59.0,41.0,,35.0,7.0,42.0,,,4.0,6.0,45.0,25.0,40.0,63.0,6.0,,8.0,31.0,5.0,,7.0,36.0,6.0,58.0,,80.0,370.0,,,,366.0,2.0,52.0,34.0,96.0,3.0,,61.0,130.0,102.0,3.0,,21.0,,5.0,30.0,219.0,5237.0,954.0,610.0,4394.0,1.0,,98.0,37.0,275.0,2.0,153.0,,17.0,225.0,90.0,24.0,4.0,1.0,8.0,275.0,84.0,130.0,,,9.0,23359.0
Blanco,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,3.0,5.0,,,,6.0,1.0,,,,,,,,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,1.0,,5.0,,,,,1.0,1.0,,2.0,,,,,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,3.0,3.0,,,,,,1.0,2.0,18.0,4.0,4.0,24.0,,,,1.0,1.0,,,,,2.0,2.0,,,,,,3.0,,,,,119.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,4.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,2.0,,,,,,,2.0,7.0,2.0,,6.0,,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,50.0
Bowie,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,4.0,,,,,1.0,1.0,4.0,1.0,7.0,,,,7.0,2.0,,,,,,,,,1.0,1.0,3.0,3.0,,,5.0,6.0,,1.0,,,,,,,1.0,1.0,1.0,,,2.0,2.0,1.0,4.0,,,,,,,,,,4.0,16.0,,3.0,2.0,2.0,,,,6.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,,3.0,5.0,,,,,,,,,,,,3.0,1.0,,,,,,1.0,4.0,48.0,9.0,7.0,25.0,,,1.0,2.0,3.0,,5.0,,,2.0,,,,,,,2.0,,,,,226.0
Brazoria,8.0,4.0,1.0,2.0,,17.0,8.0,8.0,11.0,8.0,16.0,2.0,,2.0,12.0,18.0,4.0,15.0,36.0,5.0,9.0,12.0,14.0,2.0,25.0,2.0,,,2.0,1.0,70.0,14.0,34.0,57.0,1.0,,2.0,47.0,44.0,,1.0,,,,3.0,1.0,,3.0,8.0,11.0,55.0,,,30.0,103.0,,9.0,,,,3.0,1.0,,5.0,6.0,,,,20.0,16.0,4.0,52.0,,12.0,6.0,1.0,1.0,1.0,,1.0,2.0,20.0,89.0,2.0,28.0,12.0,17.0,2.0,7.0,3.0,27.0,,2.0,,6.0,2.0,4.0,,10.0,3.0,,4.0,,12.0,,,,2.0,15.0,9.0,22.0,30.0,2.0,,1.0,6.0,4.0,,,2.0,,4.0,,17.0,44.0,,,,9.0,,6.0,4.0,19.0,,,14.0,16.0,16.0,,,1.0,,,1.0,35.0,864.0,178.0,120.0,1027.0,,,12.0,6.0,26.0,,19.0,,1.0,57.0,7.0,5.0,1.0,,2.0,7.0,8.0,18.0,,,,3755.0
