County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD F-150 LARIAT,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116â€ DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GMC SIERRA EV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAMBORGHINI REVUELTO,LAND ROVER RANGE ROVER,LAND ROVER RANGE ROVER SPORT,LEXUS NX,LEXUS RX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,PORSCHE TAYCAN 4S,PORSCHE TAYCAN TURBO/TURBO S,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Brazos,,1.0,1.0,1.0,,6.0,1.0,2.0,,1.0,1.0,,,,10.0,13.0,,3.0,11.0,1.0,,,9.0,4.0,19.0,1.0,,,,1.0,7.0,,17.0,21.0,,2.0,1.0,42.0,43.0,,,,,,3.0,1.0,1.0,1.0,13.0,6.0,35.0,,,19.0,53.0,,7.0,,,,1.0,1.0,,1.0,2.0,,,,8.0,8.0,3.0,22.0,1.0,21.0,5.0,1.0,1.0,,,,,12.0,43.0,,22.0,8.0,11.0,3.0,3.0,,23.0,,2.0,,1.0,,,,4.0,2.0,,,,11.0,,,,,6.0,1.0,7.0,12.0,1.0,,1.0,4.0,1.0,,1.0,5.0,,5.0,,8.0,19.0,,,,5.0,,3.0,,2.0,,,,13.0,12.0,,,1.0,,2.0,3.0,15.0,289.0,61.0,40.0,263.0,,,5.0,2.0,29.0,,14.0,,,11.0,2.0,5.0,,,,1.0,10.0,7.0,,,,1444.0
Brewster,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,26.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Brown,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,3.0,,,1.0,4.0,2.0,,1.0,,,,,,,,1.0,,3.0,,,1.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,4.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,7.0,,1.0,7.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,56.0
Burleson,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,10.0,2.0,1.0,6.0,,,,,1.0,,,,,,,,,,,,,,,,,38.0
Burnet,,,,,,,5.0,,,1.0,1.0,,,,1.0,,,3.0,2.0,,,,,,4.0,,,,,1.0,8.0,2.0,3.0,6.0,1.0,2.0,2.0,10.0,4.0,,,,,,1.0,,,1.0,5.0,3.0,15.0,,,5.0,10.0,,,,1.0,,,,,,2.0,,,,3.0,,,3.0,,3.0,1.0,,,,,,,,14.0,1.0,,,,,2.0,,4.0,,,,1.0,,,,3.0,4.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,3.0,,1.0,8.0,,,,1.0,,2.0,1.0,1.0,,,,2.0,3.0,,,,,1.0,,6.0,77.0,38.0,16.0,66.0,,,,1.0,12.0,,2.0,,,6.0,2.0,,1.0,,,,1.0,5.0,,,,399.0
Caldwell,,,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,2.0,1.0,2.0,6.0,1.0,,,8.0,3.0,,,,,,2.0,,,,1.0,2.0,2.0,,,5.0,10.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,4.0,,4.0,,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,1.0,1.0,,,,,,,5.0,34.0,7.0,2.0,33.0,,,,,3.0,,2.0,,1.0,,,,,,,,,2.0,,,,176.0
Calhoun,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,12.0,1.0,,10.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,44.0
Callahan,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,32.0
Cameron,1.0,2.0,1.0,,,,,4.0,1.0,3.0,,,1.0,,9.0,13.0,1.0,13.0,12.0,1.0,2.0,7.0,2.0,1.0,12.0,3.0,,,1.0,2.0,53.0,7.0,17.0,20.0,5.0,3.0,1.0,29.0,20.0,,1.0,,,,,,,1.0,5.0,5.0,41.0,1.0,1.0,5.0,74.0,,11.0,,1.0,1.0,,,,4.0,10.0,1.0,,,4.0,37.0,1.0,15.0,,22.0,4.0,,,,,,1.0,18.0,86.0,,9.0,1.0,10.0,,1.0,2.0,29.0,,3.0,,3.0,1.0,2.0,,3.0,1.0,,2.0,,3.0,,1.0,,,3.0,,4.0,3.0,,,,3.0,1.0,,,,1.0,8.0,,19.0,23.0,,,,2.0,,4.0,1.0,6.0,,,,5.0,3.0,,,1.0,,,1.0,45.0,523.0,73.0,56.0,309.0,,,9.0,,18.0,,14.0,,,18.0,1.0,,1.0,,,2.0,3.0,6.0,,,,1834.0
Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,21.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,10.0
Cass,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,3.0,,,,3.0,6.0,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,3.0,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,9.0,4.0,,7.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,67.0
Castro,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
Chambers,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,2.0,,1.0,1.0,,,,,,1.0,1.0,,5.0,2.0,,,2.0,3.0,,,,,,,,,1.0,1.0,1.0,10.0,,,1.0,4.0,,,,,,1.0,,,,1.0,,,,3.0,2.0,,1.0,,3.0,1.0,,,,,,,3.0,7.0,,2.0,,2.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,3.0,,,,2.0,,,,,,,,4.0,72.0,16.0,4.0,52.0,,,1.0,,,,1.0,,,2.0,,,,,,2.0,,,,,,235.0
Cherokee,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,2.0,,,,,,3.0,1.0,,3.0,,1.0,,6.0,8.0,,,,,,1.0,,,,1.0,,3.0,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,6.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,19.0,5.0,3.0,14.0,,,,,4.0,,,,,,,,,,,,1.0,1.0,,,,109.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,22.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0
Collin,19.0,8.0,10.0,7.0,1.0,173.0,60.0,55.0,111.0,69.0,94.0,8.0,2.0,2.0,129.0,172.0,13.0,135.0,298.0,47.0,29.0,42.0,216.0,32.0,318.0,8.0,,,3.0,4.0,296.0,78.0,189.0,229.0,74.0,8.0,11.0,316.0,330.0,,2.0,3.0,1.0,1.0,40.0,,5.0,35.0,56.0,40.0,193.0,3.0,12.0,155.0,612.0,,35.0,,6.0,4.0,33.0,22.0,,34.0,52.0,5.0,,2.0,125.0,82.0,20.0,172.0,,103.0,30.0,6.0,5.0,4.0,,,23.0,109.0,398.0,3.0,211.0,103.0,122.0,3.0,47.0,8.0,165.0,,17.0,7.0,51.0,18.0,128.0,5.0,57.0,15.0,,122.0,2.0,76.0,1.0,,7.0,10.0,123.0,62.0,104.0,198.0,6.0,,18.0,65.0,15.0,,12.0,32.0,9.0,57.0,,106.0,383.0,,,,88.0,,101.0,55.0,236.0,2.0,,296.0,272.0,141.0,3.0,,11.0,,3.0,55.0,212.0,7179.0,1527.0,1329.0,10608.0,6.0,,121.0,58.0,237.0,2.0,145.0,4.0,17.0,329.0,34.0,31.0,5.0,,2.0,67.0,133.0,261.0,,,,31962.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,1.0,,8.0,,,3.0,2.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,12.0,4.0,3.0,11.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,78.0
Comal,4.0,,2.0,,,9.0,13.0,8.0,14.0,12.0,18.0,1.0,,,12.0,15.0,1.0,16.0,12.0,4.0,,1.0,5.0,1.0,30.0,,,,2.0,2.0,21.0,4.0,21.0,41.0,4.0,,2.0,41.0,54.0,,2.0,,,,2.0,,1.0,2.0,12.0,6.0,54.0,1.0,,22.0,80.0,,1.0,,2.0,,,,,2.0,10.0,1.0,,,7.0,6.0,4.0,26.0,1.0,7.0,7.0,2.0,1.0,,,,2.0,13.0,69.0,,15.0,5.0,11.0,,6.0,1.0,29.0,,1.0,,5.0,2.0,8.0,,12.0,7.0,,4.0,1.0,9.0,,,1.0,1.0,2.0,,2.0,11.0,,,1.0,1.0,2.0,,3.0,3.0,1.0,7.0,,18.0,18.0,,,,10.0,,5.0,7.0,7.0,,,,34.0,18.0,,,5.0,,,7.0,47.0,536.0,146.0,82.0,538.0,1.0,,6.0,6.0,37.0,,28.0,,1.0,18.0,4.0,4.0,1.0,,1.0,10.0,9.0,21.0,,,,2489.0
Comanche,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,22.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Cooke,,,,,,,,,,1.0,,,,,,1.0,,3.0,,,,,,,2.0,,,,,,4.0,1.0,3.0,2.0,,,,6.0,2.0,,,,,,1.0,,,,1.0,4.0,3.0,,,6.0,6.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,3.0,,1.0,3.0,1.0,1.0,1.0,,6.0,,,,1.0,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,3.0,,,,2.0,,,,1.0,,,,2.0,2.0,,,,,,,1.0,22.0,10.0,6.0,17.0,,,,,3.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,150.0
Coryell,,2.0,,,,2.0,,,,,,,,,7.0,2.0,1.0,3.0,1.0,,,,,,2.0,,,,,,1.0,2.0,6.0,1.0,1.0,,1.0,16.0,6.0,,2.0,,,,,2.0,,,2.0,2.0,3.0,,,9.0,10.0,,2.0,,3.0,,,,,1.0,1.0,,,,2.0,,,4.0,,2.0,1.0,,,,,,1.0,5.0,9.0,,4.0,,4.0,,2.0,,7.0,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,2.0,,2.0,7.0,,,,,,,,,,,,1.0,,,,,,,2.0,4.0,61.0,8.0,5.0,33.0,,,2.0,2.0,5.0,,,,,7.0,,1.0,,,,1.0,1.0,2.0,,,,283.0
Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Crockett,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,8.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,17.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,20.0
Dallas,48.0,9.0,34.0,5.0,,185.0,72.0,62.0,125.0,172.0,140.0,6.0,7.0,5.0,181.0,219.0,20.0,236.0,320.0,76.0,45.0,51.0,233.0,44.0,383.0,19.0,,,9.0,23.0,383.0,69.0,263.0,533.0,37.0,32.0,10.0,421.0,377.0,,3.0,2.0,3.0,3.0,68.0,3.0,7.0,35.0,81.0,86.0,296.0,2.0,8.0,176.0,1010.0,,119.0,1.0,6.0,6.0,63.0,20.0,,44.0,58.0,2.0,,6.0,103.0,62.0,17.0,311.0,4.0,90.0,113.0,6.0,9.0,10.0,,1.0,36.0,645.0,912.0,4.0,241.0,102.0,231.0,9.0,34.0,17.0,289.0,1.0,61.0,11.0,49.0,16.0,112.0,1.0,43.0,24.0,,153.0,5.0,52.0,1.0,1.0,4.0,13.0,153.0,81.0,149.0,272.0,11.0,,20.0,65.0,28.0,,10.0,57.0,7.0,65.0,,123.0,423.0,,5.0,1.0,151.0,3.0,181.0,90.0,420.0,2.0,,102.0,483.0,184.0,5.0,,27.0,,6.0,53.0,279.0,7022.0,2019.0,1139.0,6684.0,5.0,,64.0,50.0,272.0,,142.0,2.0,22.0,300.0,56.0,46.0,12.0,,6.0,121.0,168.0,318.0,,2.0,,32661.0
Dawson,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,14.0
Deaf Smith,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,24.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,13.0
Denton,8.0,6.0,14.0,3.0,1.0,106.0,21.0,24.0,70.0,63.0,46.0,2.0,1.0,2.0,81.0,126.0,9.0,101.0,233.0,45.0,30.0,31.0,165.0,15.0,220.0,6.0,,,3.0,8.0,231.0,67.0,147.0,221.0,29.0,6.0,7.0,235.0,235.0,,4.0,1.0,,3.0,40.0,,1.0,25.0,56.0,41.0,171.0,3.0,5.0,147.0,543.0,,24.0,,3.0,1.0,18.0,5.0,,30.0,49.0,4.0,,,56.0,43.0,5.0,187.0,2.0,46.0,21.0,7.0,5.0,9.0,,,27.0,77.0,351.0,4.0,158.0,78.0,88.0,4.0,40.0,8.0,125.0,3.0,14.0,3.0,8.0,9.0,56.0,,47.0,17.0,,67.0,2.0,58.0,1.0,,5.0,6.0,90.0,34.0,81.0,122.0,7.0,,11.0,32.0,18.0,,7.0,32.0,5.0,57.0,,56.0,312.0,1.0,,1.0,82.0,,79.0,30.0,173.0,3.0,,239.0,224.0,141.0,4.0,,10.0,,3.0,32.0,200.0,4957.0,1119.0,918.0,7049.0,1.0,,37.0,22.0,143.0,4.0,100.0,,13.0,236.0,26.0,29.0,7.0,,4.0,46.0,98.0,178.0,,,,22502.0
Dewitt,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,7.0,1.0,7.0,,,,,,,,,,1.0,,,,,,,,,,,,30.0
Dickens,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
