County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Webb,,,,,1.0,3.0,5.0,,1.0,,1.0,3.0,1.0,10.0,8.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,,,,,,5.0,,9.0,3.0,,1.0,9.0,5.0,,1.0,,,1.0,,,2.0,1.0,3.0,6.0,,3.0,24.0,,,,,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,9.0,26.0,,2.0,,,,2.0,,,,,1.0,1.0,,2.0,,,,6.0,,,,,6.0,4.0,2.0,16.0,,1.0,4.0,,,,,,,,1.0,,,2.0,3.0,,,,,,,2.0,,,5.0,,,6.0,,,,,,,1.0,123.0,19.0,23.0,83.0,,,,,,,4.0,10.0,,,,,4.0,,1.0,,5.0,,,,515.0
Wharton,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,4.0,1.0,,,,,,,,3.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,7.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,3.0,11.0,,,,,3.0,,,,,,,,,,,,1.0,,,,65.0
Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0
Wichita,,1.0,,,,,1.0,,,,,,,1.0,6.0,,1.0,7.0,,1.0,,1.0,,,4.0,,,,,,,,1.0,,12.0,8.0,,,12.0,9.0,,,,,2.0,,1.0,3.0,,4.0,8.0,1.0,10.0,13.0,,1.0,,,,,,,,,,,6.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,3.0,12.0,,1.0,,3.0,,,4.0,,,,1.0,,,1.0,,,,2.0,,,,,,,,4.0,,,,1.0,,,,,,,1.0,,,1.0,7.0,,,,,,,,2.0,,2.0,,4.0,1.0,,,,,1.0,,,63.0,22.0,10.0,50.0,,,1.0,2.0,5.0,,1.0,1.0,1.0,,1.0,,,,,2.0,2.0,,,,332.0
Wilbarger,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,17.0
Willacy,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,22.0
Williamson,7.0,15.0,2.0,,3.0,30.0,35.0,,11.0,1.0,50.0,15.0,14.0,77.0,66.0,1.0,19.0,171.0,1.0,41.0,76.0,89.0,8.0,2.0,6.0,57.0,,,,,3.0,6.0,69.0,2.0,147.0,222.0,,8.0,322.0,257.0,,,,,28.0,,9.0,61.0,21.0,35.0,139.0,9.0,109.0,246.0,1.0,,,1.0,2.0,2.0,1.0,2.0,4.0,,,1.0,87.0,134.0,28.0,8.0,7.0,10.0,5.0,10.0,3.0,,,,11.0,71.0,170.0,,68.0,12.0,48.0,53.0,3.0,13.0,6.0,10.0,1.0,15.0,10.0,,36.0,12.0,,13.0,42.0,,1.0,2.0,5.0,17.0,14.0,23.0,44.0,,11.0,16.0,1.0,3.0,,,1.0,22.0,37.0,29.0,3.0,,71.0,354.0,,,,1.0,62.0,,14.0,13.0,,48.0,1.0,115.0,73.0,,7.0,,,7.0,13.0,23.0,3095.0,587.0,423.0,4323.0,1.0,,23.0,34.0,155.0,2.0,87.0,235.0,16.0,18.0,13.0,2.0,,6.0,23.0,59.0,87.0,,,,13610.0
Wilson,,,,,,,,,,,1.0,,,2.0,3.0,1.0,,2.0,,,,2.0,,,,1.0,,,,,,,1.0,1.0,2.0,5.0,,1.0,3.0,6.0,,,,,1.0,,,3.0,2.0,,3.0,,2.0,5.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,4.0,13.0,,1.0,,2.0,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,38.0,7.0,5.0,33.0,,,,,4.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,175.0
Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0
Wise,1.0,,,,,2.0,1.0,,,,,,,,1.0,,1.0,5.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,4.0,9.0,,,12.0,1.0,,,,,1.0,,1.0,3.0,1.0,2.0,9.0,,8.0,11.0,,,,1.0,,,,,,,,1.0,4.0,3.0,3.0,,,2.0,,,,,,,,3.0,5.0,,4.0,,4.0,,,1.0,,,,,1.0,,4.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,9.0,,,,,1.0,,,1.0,,1.0,,,2.0,,,,,,,1.0,51.0,16.0,8.0,22.0,,,,1.0,8.0,,,5.0,,,,,,,1.0,1.0,3.0,,,,251.0
Wood,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,5.0,,,4.0,2.0,,,,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,6.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,1.0,2.0,,,,,,,,24.0,8.0,1.0,15.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,91.0
Yoakum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0
Young,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,1.0,5.0,,,,,1.0,,,,,,,,,,,,1.0,,,,34.0
Zapata,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,9.0
Zavala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Cochran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasscock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schleicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,101.0,262.0,42.0,14.0,173.0,907.0,861.0,9.0,618.0,40.0,1573.0,556.0,428.0,1669.0,1823.0,138.0,373.0,3067.0,88.0,909.0,1149.0,2167.0,213.0,157.0,561.0,1382.0,1.0,15.0,17.0,3.0,62.0,206.0,1612.0,33.0,3360.0,4854.0,105.0,166.0,5122.0,3616.0,1.0,16.0,6.0,20.0,536.0,50.0,141.0,1118.0,612.0,838.0,3020.0,140.0,2367.0,6180.0,2.0,10.0,2.0,113.0,215.0,216.0,124.0,143.0,72.0,8.0,3.0,17.0,1177.0,2556.0,681.0,84.0,141.0,542.0,58.0,96.0,66.0,10.0,5.0,7.0,296.0,2998.0,6068.0,37.0,1721.0,175.0,1324.0,649.0,69.0,328.0,158.0,233.0,182.0,276.0,324.0,4.0,674.0,241.0,4.0,628.0,505.0,5.0,6.0,57.0,96.0,794.0,439.0,710.0,1773.0,11.0,175.0,327.0,47.0,70.0,6.0,7.0,3.0,218.0,470.0,684.0,75.0,30.0,955.0,4874.0,1.0,1.0,5.0,8.0,1339.0,12.0,934.0,529.0,4.0,2204.0,2117.0,2473.0,1608.0,17.0,210.0,6.0,1.0,85.0,248.0,338.0,62915.0,16145.0,10726.0,61937.0,49.0,2.0,326.0,520.0,2916.0,21.0,1602.0,3602.0,237.0,539.0,313.0,76.0,7.0,51.0,985.0,1091.0,2024.0,2.0,2.0,2.0,266801.0
