County,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,WORKHORSE E-GEN PLUG IN HYBRID,XOS MDXT,XOS SV01,Grand Total
Brown,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,2.0,,1.0,4.0,2.0,,,,,,,,,1.0,1.0,3.0,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,5.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,92.0
Burleson,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,2.0,1.0,5.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,58.0
Burnet,,,,,1.0,3.0,,,1.0,,,,,1.0,1.0,,3.0,1.0,,,,,,3.0,,,,,1.0,4.0,1.0,5.0,5.0,,1.0,11.0,4.0,,,,,,1.0,,1.0,5.0,2.0,15.0,,5.0,6.0,,,,,,,,,,,,,4.0,,,3.0,,3.0,,,,,,,,,12.0,1.0,,,,,2.0,,,,,,,3.0,2.0,,,1.0,,,,,,,1.0,3.0,,1.0,1.0,,,,,,1.0,,1.0,8.0,,,,,,3.0,1.0,1.0,,2.0,4.0,,,,,1.0,,,63.0,35.0,16.0,57.0,,,,1.0,12.0,,2.0,,,6.0,1.0,1.0,1.0,,,,2.0,3.0,,,,,680.0
Caldwell,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,2.0,,2.0,8.0,,,5.0,3.0,,,,,,2.0,,,1.0,1.0,1.0,,5.0,7.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,3.0,3.0,,2.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,5.0,,,,,,,,,,,1.0,,,,,,,3.0,27.0,7.0,2.0,23.0,,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,276.0
Calhoun,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,7.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,74.0
Callahan,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,58.0
Cameron,2.0,1.0,,,1.0,,4.0,2.0,4.0,,,1.0,,6.0,12.0,,11.0,11.0,1.0,1.0,7.0,2.0,1.0,9.0,2.0,,,1.0,2.0,33.0,3.0,14.0,22.0,,2.0,24.0,19.0,,1.0,,,,,,,7.0,5.0,34.0,1.0,6.0,45.0,,10.0,,1.0,1.0,,,,1.0,4.0,,,5.0,1.0,1.0,12.0,,18.0,5.0,,,,,,1.0,17.0,73.0,,6.0,1.0,11.0,,1.0,1.0,2.0,3.0,1.0,,,4.0,2.0,,2.0,3.0,,1.0,,,3.0,,3.0,3.0,,,2.0,1.0,,,,1.0,8.0,,14.0,25.0,,,,1.0,,3.0,1.0,5.0,,2.0,3.0,,,1.0,,,1.0,11.0,465.0,74.0,54.0,247.0,,,5.0,1.0,17.0,,15.0,,,14.0,1.0,,,,,2.0,2.0,5.0,,,,,2950.0
Camp,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,18.0
Cass,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,3.0,,,3.0,5.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,6.0,3.0,,5.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,100.0
Castro,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,20.0
Chambers,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,,,,3.0,3.0,,,2.0,4.0,,,,,,,,1.0,1.0,,11.0,,1.0,4.0,,,,,,,,,,1.0,,,2.0,,,1.0,,2.0,1.0,,,,,,,4.0,9.0,,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,3.0,,2.0,,,,,,,,1.0,66.0,14.0,5.0,37.0,,,1.0,,1.0,,1.0,,,2.0,,,,,,2.0,,2.0,,,,,404.0
Cherokee,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,2.0,,,4.0,,,8.0,6.0,,,,,,1.0,,,,,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,14.0,5.0,4.0,11.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,164.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,30.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,12.0
Collin,,9.0,6.0,1.0,176.0,62.0,59.0,119.0,78.0,78.0,7.0,1.0,1.0,133.0,171.0,13.0,144.0,254.0,35.0,22.0,38.0,186.0,29.0,271.0,5.0,,,3.0,7.0,168.0,6.0,187.0,235.0,,11.0,325.0,313.0,,,3.0,,,42.0,4.0,25.0,57.0,35.0,179.0,15.0,157.0,492.0,,32.0,,7.0,,25.0,13.0,,20.0,21.0,,3.0,122.0,1.0,16.0,144.0,,78.0,26.0,5.0,6.0,3.0,,,26.0,124.0,354.0,3.0,149.0,42.0,102.0,2.0,35.0,10.0,26.0,12.0,39.0,41.0,2.0,50.0,10.0,,94.0,52.0,1.0,,6.0,9.0,85.0,64.0,91.0,205.0,3.0,21.0,46.0,9.0,,13.0,26.0,9.0,52.0,,88.0,375.0,,,,68.0,,86.0,51.0,212.0,286.0,239.0,119.0,2.0,,13.0,,4.0,39.0,49.0,6660.0,1515.0,1270.0,9141.0,6.0,,37.0,55.0,234.0,2.0,121.0,2.0,15.0,322.0,35.0,30.0,4.0,,3.0,65.0,104.0,210.0,,,,,55918.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0
Colorado,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,5.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,10.0,4.0,3.0,9.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,114.0
Comal,,3.0,,,14.0,14.0,6.0,14.0,15.0,15.0,,,,14.0,14.0,1.0,17.0,13.0,3.0,,1.0,3.0,1.0,27.0,,,,2.0,1.0,14.0,1.0,18.0,40.0,,2.0,42.0,43.0,,,,,,1.0,1.0,1.0,15.0,6.0,56.0,,23.0,52.0,,,,2.0,,,,,3.0,6.0,,,7.0,,4.0,14.0,,5.0,8.0,2.0,1.0,,,,2.0,13.0,66.0,,11.0,2.0,8.0,,5.0,1.0,4.0,2.0,4.0,2.0,,14.0,4.0,,4.0,9.0,,,1.0,1.0,4.0,,1.0,9.0,,1.0,1.0,1.0,,2.0,6.0,1.0,6.0,,14.0,17.0,,,,10.0,,5.0,5.0,6.0,,29.0,16.0,,,5.0,,,4.0,10.0,482.0,138.0,78.0,460.0,1.0,,1.0,5.0,31.0,,23.0,,1.0,16.0,3.0,3.0,1.0,,,10.0,11.0,16.0,,,,,4262.0
Comanche,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,38.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
Cooke,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,4.0,,1.0,1.0,,,5.0,2.0,,,,,,1.0,,,1.0,2.0,2.0,,6.0,9.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,19.0,12.0,8.0,15.0,,,,,3.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,240.0
Coryell,2.0,,,,3.0,,,,,,,,,8.0,3.0,,4.0,,,,,,,2.0,,,,,,1.0,,3.0,2.0,,1.0,14.0,6.0,,,,,,,,,2.0,1.0,1.0,,8.0,8.0,,1.0,,3.0,,,,,,,,,2.0,,,4.0,,2.0,1.0,,,,,,1.0,6.0,8.0,,1.0,,6.0,,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,2.0,,2.0,8.0,,,,,,,,,,,,,,,,,1.0,1.0,49.0,5.0,4.0,29.0,,,1.0,1.0,4.0,,,,,4.0,,1.0,,,,,1.0,2.0,,,,,452.0
Crockett,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,12.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,12.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,32.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,34.0
Dallas,7.0,29.0,4.0,,193.0,64.0,63.0,148.0,151.0,107.0,5.0,6.0,2.0,171.0,231.0,17.0,229.0,277.0,49.0,34.0,56.0,198.0,41.0,351.0,11.0,,,8.0,24.0,260.0,8.0,265.0,542.0,19.0,9.0,442.0,365.0,,,3.0,,3.0,72.0,10.0,33.0,82.0,76.0,255.0,8.0,170.0,874.0,,121.0,1.0,7.0,3.0,49.0,13.0,,24.0,33.0,2.0,4.0,100.0,1.0,13.0,271.0,,70.0,105.0,5.0,9.0,3.0,,1.0,41.0,658.0,858.0,3.0,202.0,27.0,245.0,10.0,28.0,16.0,22.0,40.0,37.0,61.0,1.0,40.0,22.0,,129.0,39.0,,1.0,6.0,14.0,104.0,78.0,112.0,261.0,4.0,19.0,47.0,9.0,,13.0,50.0,7.0,71.0,,102.0,431.0,,5.0,1.0,110.0,3.0,150.0,96.0,407.0,100.0,427.0,178.0,4.0,,29.0,,3.0,28.0,64.0,6596.0,2074.0,1169.0,5996.0,5.0,,40.0,48.0,264.0,,128.0,2.0,25.0,284.0,44.0,40.0,14.0,,5.0,116.0,145.0,269.0,,1.0,2.0,,58974.0
Dawson,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,20.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,44.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,24.0
Denton,5.0,13.0,3.0,1.0,104.0,20.0,22.0,74.0,57.0,41.0,1.0,1.0,2.0,94.0,117.0,9.0,105.0,202.0,30.0,23.0,35.0,153.0,14.0,195.0,2.0,,,3.0,9.0,148.0,9.0,125.0,231.0,1.0,7.0,250.0,212.0,,2.0,1.0,,3.0,39.0,1.0,24.0,59.0,33.0,155.0,4.0,146.0,441.0,,23.0,,3.0,1.0,10.0,4.0,,18.0,35.0,,,56.0,1.0,4.0,146.0,1.0,29.0,18.0,6.0,5.0,5.0,,,26.0,88.0,303.0,4.0,105.0,32.0,70.0,3.0,28.0,8.0,16.0,7.0,3.0,32.0,,38.0,10.0,,48.0,43.0,1.0,,4.0,6.0,62.0,32.0,57.0,124.0,1.0,10.0,23.0,6.0,,8.0,29.0,6.0,54.0,,44.0,318.0,1.0,,1.0,69.0,,64.0,30.0,160.0,152.0,183.0,127.0,3.0,,10.0,,1.0,21.0,41.0,4556.0,1105.0,876.0,6006.0,2.0,,25.0,24.0,147.0,4.0,84.0,,12.0,213.0,20.0,22.0,7.0,,4.0,45.0,86.0,153.0,,,,,38988.0
Dewitt,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,46.0
Dickens,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
Dimmit,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Donley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Duval,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,18.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,5.0,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,1.0,,,,,3.0,,,,,1.0,,,,,,,,,,,,,54.0
Ector,,,,,,,,,,1.0,,,,9.0,6.0,,2.0,,,,3.0,2.0,,6.0,2.0,,,,,3.0,,4.0,3.0,,,6.0,5.0,,,,,,,,,1.0,2.0,9.0,,,17.0,,1.0,,,,,,,2.0,3.0,,,3.0,,,7.0,,4.0,1.0,,,,,,,12.0,10.0,2.0,5.0,,1.0,,,,,,,,,5.0,3.0,,,,,,,,1.0,1.0,1.0,,,1.0,4.0,1.0,,,,,3.0,,,3.0,,,,,,,,3.0,,,,,,,,,,3.0,51.0,15.0,8.0,41.0,,,,1.0,7.0,,1.0,,,3.0,,,,,,,1.0,,,,,,578.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0
El Paso,,1.0,,,21.0,11.0,13.0,24.0,14.0,9.0,1.0,,,38.0,37.0,4.0,45.0,52.0,6.0,4.0,15.0,23.0,7.0,39.0,5.0,,,,9.0,47.0,8.0,46.0,71.0,3.0,9.0,102.0,78.0,,,1.0,,,16.0,1.0,1.0,21.0,15.0,70.0,3.0,63.0,146.0,,46.0,,2.0,1.0,2.0,,,5.0,8.0,1.0,3.0,19.0,,7.0,54.0,,36.0,9.0,,3.0,2.0,,,7.0,99.0,200.0,,41.0,7.0,32.0,5.0,9.0,3.0,6.0,5.0,8.0,10.0,,13.0,3.0,,7.0,17.0,,,5.0,3.0,9.0,1.0,9.0,19.0,,2.0,5.0,2.0,,6.0,6.0,1.0,15.0,,67.0,118.0,,,,7.0,,22.0,5.0,51.0,,18.0,12.0,,,10.0,,4.0,11.0,16.0,1041.0,172.0,131.0,767.0,,,16.0,8.0,64.0,1.0,37.0,,7.0,102.0,13.0,6.0,1.0,,1.0,20.0,33.0,30.0,,,,,9246.0
Ellis,,1.0,,,8.0,4.0,,3.0,4.0,1.0,,,,7.0,14.0,,6.0,15.0,4.0,,7.0,6.0,1.0,10.0,,,,,3.0,18.0,3.0,12.0,27.0,,,39.0,17.0,,,,,,1.0,,2.0,9.0,10.0,21.0,1.0,18.0,53.0,,1.0,,2.0,1.0,1.0,1.0,,4.0,4.0,,,3.0,,1.0,10.0,,3.0,,,,,,,2.0,8.0,36.0,,13.0,2.0,8.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,1.0,,4.0,6.0,,,,1.0,4.0,4.0,3.0,11.0,,2.0,,,,,4.0,,4.0,,8.0,26.0,,,,6.0,,,3.0,8.0,,7.0,9.0,,,1.0,,1.0,1.0,2.0,318.0,81.0,48.0,235.0,1.0,,5.0,,15.0,,4.0,,2.0,23.0,2.0,1.0,1.0,,,,3.0,6.0,,,,,2588.0
Erath,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,1.0,4.0,,,5.0,2.0,,,,,,1.0,,,2.0,2.0,4.0,,3.0,6.0,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,3.0,3.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,15.0,5.0,2.0,8.0,,,,,3.0,,1.0,,2.0,,,,,,,,,,,,,,182.0
Falls,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,26.0
