County,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,WORKHORSE E-GEN PLUG IN HYBRID,XOS MDXT,XOS SV01,Grand Total
Bexar,5.0,19.0,4.0,2.0,109.0,66.0,34.0,66.0,89.0,51.0,7.0,,1.0,194.0,153.0,12.0,157.0,171.0,26.0,7.0,38.0,80.0,21.0,197.0,7.0,,,4.0,25.0,124.0,7.0,525.0,533.0,100.0,15.0,376.0,360.0,,1.0,2.0,1.0,3.0,25.0,1.0,12.0,92.0,63.0,211.0,11.0,143.0,435.0,,44.0,,6.0,11.0,8.0,2.0,8.0,20.0,15.0,,,75.0,1.0,26.0,310.0,2.0,56.0,104.0,5.0,7.0,25.0,,2.0,14.0,363.0,466.0,2.0,320.0,8.0,482.0,2.0,37.0,18.0,8.0,20.0,22.0,51.0,2.0,47.0,33.0,,28.0,31.0,,,5.0,6.0,38.0,24.0,28.0,71.0,,7.0,19.0,4.0,,8.0,31.0,7.0,48.0,,64.0,382.0,,,,527.0,2.0,45.0,32.0,91.0,22.0,117.0,92.0,1.0,,22.0,,5.0,19.0,49.0,5159.0,939.0,565.0,3672.0,1.0,,62.0,36.0,265.0,,129.0,,16.0,218.0,101.0,21.0,3.0,1.0,5.0,323.0,70.0,113.0,,,,,41462.0
Blanco,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,6.0,,,5.0,1.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,1.0,1.0,4.0,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,2.0,3.0,,,,,,1.0,1.0,18.0,4.0,3.0,21.0,,,,1.0,1.0,,,,,2.0,,,,,,,2.0,,,,,,198.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bosque,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,3.0,,,4.0,1.0,,,,,,1.0,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,7.0,2.0,,6.0,,,,,2.0,,,,,2.0,,,,,,,1.0,,,,,,98.0
Bowie,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,2.0,1.0,8.0,,,7.0,,,,,,,,,1.0,1.0,4.0,5.0,,4.0,5.0,,,,,,,,,1.0,1.0,,,2.0,,1.0,3.0,,,,,,,,,,4.0,13.0,,3.0,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,1.0,5.0,,,,,,,,1.0,,3.0,2.0,,,,,,,,46.0,7.0,6.0,24.0,,,,2.0,4.0,,4.0,,,2.0,,,,,,,1.0,,,,,,384.0
Brazoria,2.0,,,,20.0,5.0,8.0,12.0,6.0,13.0,1.0,,1.0,8.0,20.0,4.0,18.0,34.0,5.0,3.0,13.0,13.0,3.0,26.0,,,,2.0,1.0,42.0,3.0,31.0,52.0,,2.0,46.0,37.0,,,,,,3.0,,3.0,8.0,8.0,39.0,2.0,32.0,88.0,,8.0,,,,3.0,,,3.0,3.0,,,18.0,1.0,3.0,43.0,,6.0,5.0,1.0,1.0,,,1.0,2.0,24.0,66.0,2.0,17.0,7.0,14.0,2.0,7.0,3.0,1.0,1.0,3.0,3.0,,8.0,5.0,,2.0,10.0,,,,3.0,9.0,10.0,17.0,27.0,1.0,1.0,4.0,4.0,,,1.0,,5.0,,11.0,47.0,,,,9.0,,6.0,4.0,20.0,17.0,13.0,19.0,,,1.0,,1.0,1.0,6.0,776.0,172.0,115.0,837.0,,,10.0,5.0,20.0,,17.0,,1.0,56.0,5.0,3.0,1.0,,1.0,6.0,4.0,14.0,,,,,6334.0
Brazos,1.0,1.0,1.0,,5.0,2.0,1.0,,1.0,,,,,8.0,15.0,,3.0,10.0,1.0,,,11.0,4.0,12.0,1.0,,,,1.0,4.0,,18.0,19.0,,1.0,41.0,35.0,,,,,,2.0,1.0,1.0,13.0,4.0,20.0,,20.0,31.0,,6.0,,,,1.0,,,2.0,2.0,,,8.0,,3.0,17.0,,17.0,5.0,,1.0,,,,,13.0,41.0,,15.0,2.0,9.0,3.0,2.0,,6.0,1.0,1.0,,,5.0,,,,8.0,,,,,3.0,1.0,6.0,12.0,,1.0,2.0,,,1.0,4.0,,4.0,,9.0,19.0,,,,5.0,,1.0,,4.0,,11.0,10.0,,,1.0,,2.0,3.0,4.0,258.0,65.0,36.0,213.0,,,4.0,2.0,22.0,,10.0,,,9.0,4.0,4.0,,,,1.0,7.0,8.0,,,,,2404.0
Brewster,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,42.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,12.0
