County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD F-150 LARIAT,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116â€ DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GMC SIERRA EV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAMBORGHINI REVUELTO,LAND ROVER RANGE ROVER,LAND ROVER RANGE ROVER SPORT,LEXUS NX,LEXUS RX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,PORSCHE TAYCAN 4S,PORSCHE TAYCAN TURBO/TURBO S,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Bell,2.0,1.0,,,,4.0,,1.0,2.0,5.0,2.0,,,,12.0,23.0,2.0,17.0,19.0,3.0,2.0,5.0,6.0,6.0,17.0,1.0,,,1.0,1.0,30.0,13.0,17.0,34.0,4.0,2.0,3.0,73.0,56.0,,6.0,,,,9.0,,,,20.0,6.0,29.0,1.0,2.0,32.0,64.0,,4.0,,,,1.0,1.0,,6.0,5.0,,,1.0,12.0,4.0,2.0,22.0,,16.0,4.0,,3.0,2.0,10.0,,1.0,17.0,87.0,,22.0,12.0,16.0,2.0,6.0,1.0,71.0,,,,5.0,1.0,1.0,,6.0,8.0,,3.0,,16.0,,,,3.0,5.0,6.0,7.0,7.0,,,,4.0,1.0,,2.0,1.0,1.0,14.0,,38.0,32.0,,,,7.0,,1.0,1.0,,,,,11.0,9.0,,,1.0,,1.0,4.0,21.0,508.0,106.0,53.0,418.0,,,6.0,5.0,40.0,,11.0,,3.0,26.0,5.0,7.0,1.0,,2.0,6.0,14.0,15.0,,,,2304.0
Bexar,33.0,6.0,19.0,3.0,2.0,105.0,71.0,44.0,76.0,89.0,65.0,13.0,,1.0,177.0,143.0,11.0,155.0,199.0,48.0,10.0,32.0,86.0,20.0,249.0,8.0,,,5.0,21.0,197.0,65.0,277.0,452.0,45.0,125.0,14.0,364.0,371.0,,4.0,2.0,,3.0,22.0,1.0,,13.0,93.0,70.0,275.0,1.0,10.0,154.0,542.0,,46.0,,9.0,11.0,14.0,2.0,8.0,38.0,41.0,2.0,,,74.0,64.0,26.0,354.0,5.0,72.0,109.0,5.0,8.0,35.0,,2.0,14.0,355.0,561.0,2.0,384.0,45.0,644.0,3.0,46.0,17.0,697.0,,30.0,7.0,39.0,11.0,89.0,3.0,59.0,42.0,,36.0,8.0,42.0,,,5.0,7.0,46.0,28.0,42.0,67.0,7.0,,8.0,31.0,7.0,,6.0,38.0,6.0,57.0,,80.0,371.0,,,,308.0,2.0,50.0,33.0,97.0,3.0,,65.0,136.0,103.0,3.0,,21.0,,5.0,33.0,226.0,5279.0,946.0,614.0,4416.0,2.0,,99.0,37.0,280.0,2.0,156.0,,17.0,227.0,90.0,23.0,4.0,1.0,8.0,265.0,86.0,128.0,,,9.0,23430.0
Blanco,,,,,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,5.0,,,,6.0,1.0,,,,,,,,,,,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,1.0,,5.0,,,,,,1.0,,2.0,,,,,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,3.0,3.0,,,,,,1.0,2.0,19.0,5.0,4.0,25.0,,,,1.0,1.0,,,,,2.0,2.0,,,,,,3.0,,,,,122.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,4.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,2.0,,,,,,,3.0,7.0,2.0,,6.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,51.0
Bowie,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,4.0,,,,,1.0,1.0,4.0,1.0,7.0,,,,7.0,4.0,,,,,,,,,1.0,1.0,3.0,3.0,,,5.0,6.0,,2.0,,,,,,,1.0,2.0,1.0,,,2.0,2.0,1.0,4.0,,,,,,,,,,4.0,16.0,,4.0,2.0,2.0,,,,6.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,2.0,5.0,,,,,,,,,,,,3.0,1.0,,,,,,1.0,4.0,48.0,9.0,7.0,25.0,,,1.0,2.0,3.0,,5.0,,,2.0,,,,,,,2.0,,,,,229.0
Brazoria,9.0,4.0,1.0,2.0,,18.0,7.0,8.0,12.0,11.0,16.0,2.0,,2.0,13.0,19.0,4.0,15.0,35.0,6.0,9.0,12.0,15.0,2.0,26.0,2.0,,,2.0,1.0,70.0,15.0,33.0,57.0,3.0,,2.0,50.0,43.0,,1.0,,,,3.0,1.0,,3.0,8.0,12.0,58.0,,,27.0,107.0,,12.0,,,,3.0,2.0,,5.0,6.0,,,,21.0,17.0,4.0,57.0,,14.0,6.0,1.0,1.0,1.0,,1.0,2.0,18.0,94.0,2.0,28.0,12.0,18.0,2.0,6.0,3.0,28.0,,2.0,,6.0,3.0,4.0,,11.0,4.0,,5.0,,11.0,,,,2.0,15.0,11.0,23.0,27.0,2.0,,1.0,6.0,5.0,,,2.0,,5.0,,18.0,44.0,,,,10.0,,6.0,4.0,19.0,,,19.0,16.0,16.0,,,1.0,,,1.0,46.0,872.0,174.0,119.0,1034.0,,,13.0,6.0,27.0,,19.0,,1.0,58.0,6.0,5.0,1.0,,2.0,7.0,9.0,19.0,,,,3827.0
Brazos,,1.0,1.0,1.0,,6.0,1.0,2.0,1.0,1.0,1.0,,,,12.0,13.0,,3.0,12.0,1.0,,,9.0,5.0,19.0,1.0,,,,1.0,7.0,1.0,18.0,22.0,1.0,2.0,1.0,40.0,43.0,,1.0,,,,3.0,1.0,1.0,1.0,13.0,7.0,36.0,,,19.0,55.0,,8.0,,,,1.0,1.0,,1.0,2.0,,,,8.0,9.0,3.0,21.0,1.0,20.0,6.0,1.0,1.0,,,,,10.0,44.0,,22.0,8.0,11.0,3.0,3.0,,24.0,,2.0,,,1.0,,,4.0,2.0,,,,10.0,,,,,7.0,1.0,6.0,11.0,1.0,,1.0,4.0,2.0,,1.0,5.0,,5.0,,7.0,18.0,,,,5.0,,3.0,,2.0,,,,12.0,11.0,,,1.0,,2.0,3.0,17.0,293.0,60.0,39.0,261.0,,,5.0,2.0,29.0,,16.0,,,10.0,2.0,5.0,,,,1.0,9.0,7.0,,,,1454.0
Brewster,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,27.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Brown,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,3.0,,,,4.0,2.0,,1.0,,,,,,,,1.0,,3.0,,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,2.0,,,,5.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,7.0,1.0,1.0,7.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,59.0
Burleson,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,10.0,2.0,1.0,6.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,40.0
Burnet,,,,,,,5.0,,,1.0,1.0,,,,1.0,,,3.0,2.0,,,,,,4.0,,,,,1.0,8.0,2.0,3.0,7.0,1.0,2.0,2.0,9.0,4.0,,,,,,1.0,,,1.0,4.0,3.0,14.0,1.0,,5.0,10.0,,,,1.0,,,,,,2.0,,,,3.0,,,3.0,,3.0,1.0,,,,,,,,14.0,1.0,,,,,2.0,,4.0,,,,1.0,,,,2.0,4.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,2.0,,1.0,8.0,,,,1.0,,2.0,1.0,1.0,,,,2.0,4.0,,,,,1.0,,7.0,78.0,40.0,16.0,67.0,,,,1.0,12.0,,2.0,,,6.0,2.0,,1.0,,,,1.0,5.0,,,,402.0
Caldwell,,,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,2.0,1.0,2.0,6.0,1.0,,,7.0,3.0,,,,,,2.0,,,,1.0,2.0,3.0,,,5.0,12.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,5.0,,4.0,,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,2.0,1.0,,,,,,,5.0,34.0,6.0,2.0,34.0,,,,,3.0,,2.0,,1.0,,,,,,,,,2.0,,,,181.0
Calhoun,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,12.0,1.0,,10.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,43.0
Callahan,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,3.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,34.0
Cameron,2.0,2.0,1.0,,,,,4.0,1.0,3.0,,,1.0,,9.0,12.0,1.0,13.0,9.0,1.0,2.0,7.0,2.0,1.0,12.0,3.0,,,1.0,2.0,58.0,9.0,15.0,20.0,6.0,4.0,1.0,28.0,19.0,,1.0,,,,,,,1.0,5.0,5.0,40.0,1.0,1.0,5.0,75.0,,11.0,,1.0,1.0,,,,4.0,10.0,2.0,,,4.0,44.0,1.0,17.0,,22.0,4.0,,,,,,1.0,13.0,88.0,,9.0,1.0,9.0,,2.0,2.0,30.0,,3.0,,3.0,1.0,2.0,,3.0,1.0,,2.0,,3.0,,1.0,,,3.0,,4.0,2.0,,,,3.0,1.0,,,,1.0,8.0,,20.0,23.0,,,,2.0,,3.0,2.0,7.0,,,,5.0,3.0,,,1.0,,,1.0,49.0,530.0,73.0,57.0,309.0,,,10.0,,18.0,,14.0,,,19.0,2.0,,1.0,,,2.0,2.0,6.0,,,,1859.0
Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,21.0
